iteration	evaluations	runtime[s]	distance[MIN]
1	5	0.003	15308.960672376083
2	10	0.005	15298.291731334832
3	15	0.007	15298.291731334832
4	20	0.008	15288.670845576278
5	25	0.009	15264.432701732463
6	30	0.01	15188.146992811486
7	35	0.012	15188.146992811486
8	40	0.013	15188.146992811486
9	45	0.014	15188.146992811486
10	50	0.015	15188.146992811486
11	55	0.016	15188.146992811486
12	60	0.016	15152.635344387481
13	65	0.018	15115.317554780304
14	70	0.018	15095.348271690778
15	75	0.019	15015.683542475097
16	80	0.02	15015.683542475097
17	85	0.021	14968.006581318436
18	90	0.022	14968.006581318436
19	95	0.023	14968.006581318436
20	100	0.024	14968.006581318436
21	105	0.025	14967.068624165904
22	110	0.025	14844.770859595452
23	115	0.026	14844.770859595452
24	120	0.027	14832.377292743564
25	125	0.027	14746.044780725933
26	130	0.028	14746.044780725933
27	135	0.029	14746.044780725933
28	140	0.029	14723.271242913823
29	145	0.03	14723.271242913823
30	150	0.03	14723.271242913823
31	155	0.031	14656.589926535169
32	160	0.031	14631.443822315268
33	165	0.032	14631.443822315268
34	170	0.033	14507.474880883263
35	175	0.033	14507.474880883263
36	180	0.034	14460.685546234163
37	185	0.035	14460.685546234163
38	190	0.035	14460.685546234163
39	195	0.036	14460.685546234163
40	200	0.036	14402.574884838406
41	205	0.037	14402.574884838406
42	210	0.037	14402.574884838406
43	215	0.038	14393.041608623596
44	220	0.039	14393.041608623596
45	225	0.039	14357.974580137077
46	230	0.04	14357.974580137077
47	235	0.04	14357.974580137077
48	240	0.041	14171.933078048572
49	245	0.042	14134.441645225917
50	250	0.042	14055.26628693125
51	255	0.043	14055.26628693125
52	260	0.043	14055.26628693125
53	265	0.044	14055.26628693125
54	270	0.044	14055.26628693125
55	275	0.045	14015.033193727822
56	280	0.045	14015.033193727822
57	285	0.046	13935.545572567888
58	290	0.047	13935.545572567888
59	295	0.047	13935.545572567888
60	300	0.048	13930.037462308554
61	305	0.048	13930.037462308554
62	310	0.049	13930.037462308554
63	315	0.049	13930.037462308554
64	320	0.05	13930.037462308554
65	325	0.05	13930.037462308554
66	330	0.051	13930.037462308554
67	335	0.052	13930.037462308554
68	340	0.052	13930.037462308554
69	345	0.052	13930.037462308554
70	350	0.053	13870.126112930284
71	355	0.054	13870.126112930284
72	360	0.054	13870.126112930284
73	365	0.054	13870.126112930284
74	370	0.055	13870.126112930284
75	375	0.055	13867.66568782948
76	380	0.056	13867.66568782948
77	385	0.056	13806.29096221693
78	390	0.057	13734.683459550768
79	395	0.057	13734.683459550768
80	400	0.058	13725.64953113182
81	405	0.058	13725.64953113182
