iteration	evaluations	runtime[s]	distance[MIN]
1	137	0.02	15039.437522878334
2	274	0.036	14874.803227357863
3	411	0.051	14832.483791536572
4	548	0.061	14500.5718994396
5	685	0.071	14447.615911865378
6	822	0.08	14447.615911865378
7	959	0.088	14427.509232300854
8	1096	0.097	14151.138010121003
9	1233	0.108	14151.138010121003
10	1370	0.116	13992.38836460396
11	1507	0.126	13992.38836460396
12	1644	0.139	13992.38836460396
13	1781	0.15	13746.45831563109
14	1918	0.158	13746.45831563109
15	2055	0.165	13746.45831563109
16	2192	0.173	13746.45831563109
17	2329	0.183	13676.25882082391
18	2466	0.188	13563.15317878109
19	2603	0.193	13563.15317878109
20	2740	0.198	13367.484749103149
21	2877	0.203	13367.484749103149
22	3014	0.208	13367.484749103149
23	3151	0.213	13367.484749103149
24	3288	0.219	13253.086128799685
25	3425	0.23	13253.086128799685
26	3562	0.236	13178.413134928931
27	3699	0.241	13135.379512864169
28	3836	0.246	13135.379512864169
29	3973	0.25	13040.870438537362
30	4110	0.255	13027.453728584516
31	4247	0.259	13010.345052338582
32	4384	0.263	12937.211750896107
33	4521	0.268	12937.211750896107
34	4658	0.272	12798.739498185876
35	4795	0.278	12798.739498185876
36	4932	0.282	12701.812531923058
37	5069	0.286	12647.884414118686
38	5206	0.291	12647.884414118686
39	5343	0.295	12644.060061673375
40	5480	0.301	12609.103292245769
41	5617	0.307	12609.103292245769
42	5754	0.312	12523.226301186927
43	5891	0.318	12522.12624155707
44	6028	0.323	12457.659983222651
45	6165	0.327	12430.208295279665
46	6302	0.336	12430.208295279665
47	6439	0.34	12361.8559637396
48	6576	0.345	12361.8559637396
49	6713	0.35	12260.942032179675
50	6850	0.356	12260.942032179675
51	6987	0.363	12213.640444560937
52	7124	0.369	12188.18714433225
53	7261	0.374	12118.025928831541
54	7398	0.378	12065.47304188253
55	7535	0.383	12065.47304188253
56	7672	0.387	11996.895304106018
57	7809	0.392	11981.531609762327
58	7946	0.396	11886.656766333572
59	8083	0.4	11886.656766333572
60	8220	0.405	11868.713813142847
61	8357	0.409	11812.220513440343
62	8494	0.413	11767.513536090268
63	8631	0.417	11742.469762625404
64	8768	0.422	11726.912432567844
65	8905	0.426	11714.719854257579
66	9042	0.43	11688.137251357595
67	9179	0.434	11597.27122476169
68	9316	0.438	11597.27122476169
69	9453	0.442	11542.588160612528
70	9590	0.446	11528.430080649714
71	9727	0.45	11524.92088479998
72	9864	0.455	11510.568814445787
73	10001	0.459	11510.568814445787
74	10138	0.463	11510.568814445787
75	10275	0.471	11399.304585611464
76	10412	0.475	11399.304585611464
77	10549	0.479	11399.304585611464
78	10686	0.483	11399.304585611464
79	10823	0.488	11348.810988248244
80	10960	0.492	11348.810988248244
81	11097	0.496	11346.065865469995
82	11234	0.5	11346.065865469995
83	11371	0.504	11277.358873062756
84	11508	0.509	11201.107157440385
85	11645	0.513	11201.107157440385
86	11782	0.517	11201.107157440385
87	11919	0.522	11201.107157440385
88	12056	0.526	11184.803215082504
89	12193	0.53	11139.101999989729
90	12330	0.534	11135.710188037201
91	12467	0.539	11096.210811612744
92	12604	0.543	11000.856287144163
93	12741	0.547	11000.856287144163
94	12878	0.552	11000.856287144163
95	13015	0.556	11000.856287144163
