iteration	evaluations	runtime[s]	distance[MIN]
1	137	0.02	14660.507376792686
2	274	0.036	14656.135343312491
3	411	0.049	14544.216159724852
4	548	0.056	14508.244506982328
5	685	0.065	14508.244506982328
6	822	0.072	13889.481392053904
7	959	0.079	13889.481392053904
8	1096	0.085	13889.481392053904
9	1233	0.091	13889.481392053904
10	1370	0.098	13889.481392053904
11	1507	0.104	13889.481392053904
12	1644	0.11	13889.481392053904
13	1781	0.116	13817.00845723121
14	1918	0.122	13729.347209504813
15	2055	0.128	13648.474325430276
16	2192	0.134	13648.474325430276
17	2329	0.14	13619.512142061714
18	2466	0.145	13614.399128673153
19	2603	0.151	13487.446384568691
20	2740	0.166	13487.446384568691
21	2877	0.172	13487.446384568691
22	3014	0.184	13342.332042034457
23	3151	0.19	13294.526423706187
24	3288	0.195	13254.786684043982
25	3425	0.199	13219.720424359642
26	3562	0.203	13219.720424359642
27	3699	0.208	13150.282144699815
28	3836	0.212	13016.819318893982
29	3973	0.219	12844.358854601303
30	4110	0.224	12844.358854601303
31	4247	0.228	12844.358854601303
32	4384	0.233	12844.358854601303
33	4521	0.237	12842.59312422033
34	4658	0.241	12746.78754393174
35	4795	0.245	12746.78754393174
36	4932	0.249	12681.221181900484
37	5069	0.254	12563.728506165715
38	5206	0.258	12563.728506165715
39	5343	0.263	12563.728506165715
40	5480	0.267	12440.38050430674
41	5617	0.271	12440.38050430674
42	5754	0.275	12440.38050430674
43	5891	0.285	12362.655337965338
44	6028	0.292	12362.655337965338
45	6165	0.296	12361.16919771929
46	6302	0.3	12295.797483619288
47	6439	0.307	12295.797483619288
48	6576	0.311	12215.924501096015
49	6713	0.315	12203.083702635064
50	6850	0.32	12150.088405727518
51	6987	0.324	12143.131661356325
52	7124	0.328	12085.177404776092
53	7261	0.332	12074.524737731961
54	7398	0.339	12052.440559307463
55	7535	0.348	11942.128040542982
56	7672	0.352	11867.102698098184
57	7809	0.356	11867.102698098184
58	7946	0.36	11773.104792951377
59	8083	0.364	11767.82806439179
60	8220	0.368	11763.73240272461
61	8357	0.372	11763.73240272461
62	8494	0.377	11708.728874466506
63	8631	0.38	11645.63996808789
64	8768	0.384	11612.856997149123
65	8905	0.388	11612.856997149123
66	9042	0.392	11612.856997149123
67	9179	0.396	11517.719112564577
68	9316	0.4	11517.719112564577
69	9453	0.404	11517.719112564577
70	9590	0.408	11469.958657429052
71	9727	0.412	11469.958657429052
72	9864	0.416	11469.958657429052
73	10001	0.419	11349.8602921216
74	10138	0.423	11349.8602921216
75	10275	0.427	11349.8602921216
76	10412	0.431	11349.8602921216
77	10549	0.435	11322.958556694277
78	10686	0.439	11299.414446602535
79	10823	0.443	11280.111673004678
80	10960	0.447	11262.819054508902
81	11097	0.451	10994.404900804737
82	11234	0.455	10994.404900804737
83	11371	0.459	10994.404900804737
84	11508	0.463	10994.404900804737
85	11645	0.467	10994.404900804737
86	11782	0.471	10994.404900804737
87	11919	0.475	10967.822279878103
88	12056	0.479	10967.822279878103
89	12193	0.483	10962.454985913246
90	12330	0.487	10962.454985913246
91	12467	0.494	10962.454985913246
92	12604	0.499	10955.780556142687
93	12741	0.503	10897.00194510017
94	12878	0.507	10897.00194510017
95	13015	0.51	10897.00194510017
96	13152	0.514	10885.720756872397
97	13289	0.518	10869.17985071306
98	13426	0.521	10853.806905107895
99	13563	0.525	10847.852935022544
100	13700	0.529	10816.717368362793
101	13837	0.533	10811.357782794916
102	13974	0.537	10796.236479909752
103	14111	0.542	10767.236966901397
104	14248	0.546	10767.236966901397
105	14385	0.551	10751.636508786143
106	14522	0.556	10751.636508786143
107	14659	0.561	10740.08725624419
108	14796	0.565	10740.08725624419
109	14933	0.569	10721.245848559949
110	15070	0.572	10692.350893739134
111	15207	0.576	10657.494144154787
112	15344	0.58	10642.108672699618
113	15481	0.583	10568.75562717617
114	15618	0.587	10568.75562717617
115	15755	0.597	10506.397136242658
116	15892	0.602	10506.397136242658
117	16029	0.606	10506.397136242658
118	16166	0.612	10504.779644545752
119	16303	0.616	10452.990765983495
120	16440	0.62	10437.65103991251
121	16577	0.625	10437.65103991251
122	16714	0.631	10437.65103991251
123	16851	0.635	10417.42906719696
124	16988	0.639	10361.782657377029
125	17125	0.642	10361.782657377029
126	17262	0.651	10361.782657377029
127	17399	0.656	10361.782657377029
128	17536	0.659	10347.326072842323
129	17673	0.663	10347.326072842323
130	17810	0.667	10312.030773104225
131	17947	0.671	10312.030773104225
132	18084	0.676	10297.530315082347
133	18221	0.681	10286.564278409347
134	18358	0.685	10236.756455683704
135	18495	0.688	10220.047614699948
136	18632	0.692	10220.047614699948
137	18769	0.696	10220.047614699948
138	18906	0.7	10147.476127186777
139	19043	0.704	10131.289668937405
140	19180	0.708	10120.757300849404
141	19317	0.711	10120.701320955972
142	19454	0.716	10072.107792186385
143	19591	0.72	10072.107792186385
144	19728	0.724	10072.107792186385
145	19865	0.728	10072.107792186385
146	20002	0.732	10072.107792186385
147	20139	0.736	10027.192766063896
148	20276	0.741	10021.441245887452
149	20413	0.745	9988.345982917932
150	20550	0.749	9988.345982917932
151	20687	0.753	9988.345982917932
152	20824	0.757	9958.84419371489
153	20961	0.761	9958.84419371489
154	21098	0.765	9893.544676567899
155	21235	0.768	9893.544676567899
156	21372	0.772	9861.021676695622
157	21509	0.776	9861.021676695622
158	21646	0.779	9861.021676695622
159	21783	0.783	9821.023233316519
160	21920	0.787	9817.415923512686
161	22057	0.791	9805.086417728948
162	22194	0.797	9801.55054054028
163	22331	0.801	9801.55054054028
164	22468	0.805	9767.674646779824
165	22605	0.809	9733.602661517034
166	22742	0.812	9733.602661517034
167	22879	0.816	9639.900758032185
168	23016	0.82	9639.900758032185
169	23153	0.824	9639.900758032185
170	23290	0.828	9639.900758032185
171	23427	0.831	9619.037792470299
172	23564	0.835	9619.037792470299
173	23701	0.84	9613.669944543777
174	23838	0.844	9585.101755775773
