iteration	evaluations	runtime[s]	distance[MIN]
1	137	0.022	14623.878772989352
2	274	0.04	14623.878772989352
3	411	0.057	14557.559669652079
4	548	0.07	14557.559669652079
5	685	0.082	14483.201483264362
6	822	0.09	14324.087867359227
7	959	0.1	14324.087867359227
8	1096	0.108	14324.087867359227
9	1233	0.117	14128.87781273216
10	1370	0.126	14128.87781273216
11	1507	0.134	14128.87781273216
12	1644	0.142	14025.029919659433
13	1781	0.149	13992.098303064171
14	1918	0.157	13992.098303064171
15	2055	0.165	13943.079402209638
16	2192	0.173	13682.229254021042
17	2329	0.185	13682.229254021042
18	2466	0.193	13682.229254021042
19	2603	0.197	13682.229254021042
20	2740	0.202	13635.436351737137
21	2877	0.207	13572.528251838068
22	3014	0.211	13572.528251838068
23	3151	0.216	13405.97788751745
24	3288	0.221	13315.706499596603
25	3425	0.226	13315.706499596603
26	3562	0.231	13315.706499596603
27	3699	0.236	13315.706499596603
28	3836	0.24	12982.111349057157
29	3973	0.244	12976.016622990626
30	4110	0.249	12976.016622990626
31	4247	0.253	12976.016622990626
32	4384	0.257	12976.016622990626
33	4521	0.262	12955.027662827208
34	4658	0.266	12930.319442455862
35	4795	0.27	12926.734567686499
36	4932	0.274	12748.142581797236
37	5069	0.278	12748.142581797236
38	5206	0.283	12748.142581797236
39	5343	0.287	12735.380031998277
40	5480	0.291	12735.380031998277
41	5617	0.296	12659.726963603622
42	5754	0.3	12659.726963603622
43	5891	0.304	12643.914643301627
44	6028	0.309	12643.914643301627
45	6165	0.314	12616.177565700535
46	6302	0.325	12589.101818036159
47	6439	0.329	12503.22221484771
48	6576	0.333	12420.234012341652
49	6713	0.338	12420.234012341652
50	6850	0.342	12394.4659792795
51	6987	0.346	12391.107397227841
52	7124	0.351	12391.107397227841
53	7261	0.355	12380.909022792745
54	7398	0.36	12321.389773474755
55	7535	0.365	12321.28059862324
56	7672	0.369	12142.947976940244
57	7809	0.374	12142.947976940244
58	7946	0.378	12142.947976940244
59	8083	0.382	12101.603775842024
60	8220	0.387	12100.203403554879
61	8357	0.391	12083.250687971899
62	8494	0.395	12048.941750369568
63	8631	0.399	12048.941750369568
64	8768	0.404	11953.690469134088
65	8905	0.408	11953.690469134088
66	9042	0.413	11873.492464738027
67	9179	0.417	11835.297790549039
68	9316	0.421	11803.618979681933
69	9453	0.426	11733.873148001512
70	9590	0.43	11609.014653617807
71	9727	0.434	11609.014653617807
72	9864	0.438	11609.014653617807
73	10001	0.442	11533.902584831152
74	10138	0.447	11533.902584831152
75	10275	0.455	11467.526183158045
76	10412	0.46	11467.526183158045
77	10549	0.464	11421.078522503802
78	10686	0.468	11326.386744958389
79	10823	0.472	11256.162171348298
80	10960	0.476	11256.162171348298
81	11097	0.481	11256.162171348298
82	11234	0.485	11256.162171348298
83	11371	0.489	11166.450612788729
84	11508	0.493	11127.728540953498
85	11645	0.498	11114.687023886925
86	11782	0.502	11061.692895705703
87	11919	0.507	11014.190981613647
88	12056	0.511	11014.190981613647
89	12193	0.516	10956.465341438567
90	12330	0.52	10953.468900776643
91	12467	0.524	10953.468900776643
92	12604	0.528	10896.00782406972
93	12741	0.533	10896.00782406972
94	12878	0.537	10868.745776630176
95	13015	0.541	10821.5981720276
96	13152	0.545	10821.5981720276
97	13289	0.549	10781.697102023494
98	13426	0.553	10761.877219406615
99	13563	0.557	10705.108197114363
100	13700	0.561	10692.016866602808
101	13837	0.565	10692.016866602808
102	13974	0.57	10653.006206199596
103	14111	0.574	10653.006206199596
104	14248	0.578	10653.006206199596
105	14385	0.586	10628.467204594379
106	14522	0.59	10628.467204594379
107	14659	0.594	10628.467204594379
108	14796	0.598	10628.467204594379
109	14933	0.602	10613.702428454413
110	15070	0.606	10613.702428454413
111	15207	0.61	10595.83885665801
112	15344	0.614	10564.313007219114
113	15481	0.618	10541.913814620757
114	15618	0.622	10541.913814620757
115	15755	0.626	10521.007522991622
116	15892	0.63	10460.774514117178
117	16029	0.634	10460.774514117178
118	16166	0.638	10460.774514117178
119	16303	0.641	10389.214111316256
120	16440	0.645	10389.214111316256
121	16577	0.649	10389.214111316256
122	16714	0.653	10377.90583826768
123	16851	0.657	10377.90583826768
124	16988	0.661	10292.117903303668
125	17125	0.665	10292.117903303668
126	17262	0.669	10292.117903303668
127	17399	0.673	10249.344573402352
128	17536	0.677	10249.344573402352
129	17673	0.68	10249.344573402352
130	17810	0.684	10243.18758252538
131	17947	0.688	10195.967198383292
132	18084	0.693	10195.967198383292
133	18221	0.697	10184.156152628133
134	18358	0.701	10184.156152628133
135	18495	0.705	10174.954475857896
136	18632	0.709	10126.499466029793
137	18769	0.713	10126.499466029793
138	18906	0.717	10066.883652755147
139	19043	0.721	10054.057171808112
140	19180	0.725	10054.057171808112
141	19317	0.729	10054.057171808112
142	19454	0.733	10035.395998509128
143	19591	0.737	9936.35082449568
144	19728	0.741	9936.35082449568
145	19865	0.745	9916.467368108064
146	20002	0.749	9916.467368108064
147	20139	0.753	9852.464934178617
148	20276	0.757	9852.464934178617
149	20413	0.761	9852.464934178617
150	20550	0.765	9781.079176897556
151	20687	0.769	9781.079176897556
152	20824	0.773	9745.842007650162
153	20961	0.777	9742.79764212846
154	21098	0.781	9733.024450948287
155	21235	0.785	9732.774501274434
156	21372	0.789	9706.492443151676
157	21509	0.793	9646.100396662203
158	21646	0.796	9646.100396662203
159	21783	0.8	9643.648803389451
160	21920	0.804	9643.648803389451
161	22057	0.808	9643.648803389451
162	22194	0.814	9638.171388670411
163	22331	0.818	9635.51005479231
164	22468	0.822	9596.59521922169
165	22605	0.83	9596.59521922169
166	22742	0.834	9580.454929862028
167	22879	0.837	9578.20497654336
168	23016	0.841	9517.158038034851
169	23153	0.845	9517.158038034851
170	23290	0.849	9517.158038034851
171	23427	0.853	9517.158038034851
172	23564	0.857	9517.158038034851
173	23701	0.86	9517.158038034851
174	23838	0.864	9511.959440999783
175	23975	0.868	9493.613777623897
176	24112	0.872	9493.613777623897
177	24249	0.876	9493.613777623897
178	24386	0.881	9487.17151768137
179	24523	0.885	9445.076915495845
180	24660	0.889	9398.311993632224
181	24797	0.893	9398.311993632224
182	24934	0.897	9390.17035467526
183	25071	0.901	9368.19292647596
184	25208	0.905	9368.19292647596
185	25345	0.909	9364.417025317303
186	25482	0.913	9357.856147187927
187	25619	0.917	9319.568435956506
188	25756	0.921	9319.568435956506
189	25893	0.925	9286.642561668481
190	26030	0.929	9240.794693543457
191	26167	0.933	9240.794693543457
192	26304	0.937	9240.794693543457
193	26441	0.941	9235.841513297883
194	26578	0.945	9235.841513297883
195	26715	0.949	9235.841513297883
196	26852	0.953	9165.631916208338
197	26989	0.957	9165.631916208338
198	27126	0.961	9165.631916208338
199	27263	0.965	9165.631916208338
200	27400	0.969	9124.226048659453
201	27537	0.973	9124.226048659453
202	27674	0.977	9123.757106810446
203	27811	0.981	9120.993403331828
204	27948	0.984	9098.131303636468
205	28085	0.988	9098.131303636468
206	28222	0.992	9092.302612131047
207	28359	0.996	9086.588504629693
208	28496	1.0	9081.607757990403
209	28633	1.004	9004.04023870137
210	28770	1.008	9004.04023870137
211	28907	1.012	9004.04023870137
212	29044	1.016	8968.294060603508
213	29181	1.02	8968.294060603508
214	29318	1.024	8968.294060603508
215	29455	1.027	8952.657491873491
216	29592	1.031	8952.657491873491
217	29729	1.035	8941.555255551482
218	29866	1.039	8941.555255551482
219	30003	1.042	8923.355498395948
220	30140	1.046	8923.355498395948
221	30277	1.05	8913.630668265432
222	30414	1.054	8913.630668265432
223	30551	1.058	8889.549454005568
224	30688	1.066	8889.549454005568
225	30825	1.07	8889.549454005568
226	30962	1.075	8881.753581700847
227	31099	1.079	8870.01720988599
228	31236	1.083	8870.01720988599
229	31373	1.087	8870.01720988599
230	31510	1.091	8860.115781417118
231	31647	1.096	8853.726384575839
232	31784	1.102	8824.536461935813
233	31921	1.107	8824.536461935813
234	32058	1.112	8819.004512815874
235	32195	1.116	8808.442712720003
236	32332	1.12	8806.036923852069
237	32469	1.124	8803.435461883872
