iteration	evaluations	runtime[s]	distance[MIN]
1	5	0.003	15653.855632081024
2	10	0.006	15653.855632081024
3	15	0.007	15653.855632081024
4	20	0.008	15653.855632081024
5	25	0.009	15653.855632081024
6	30	0.01	15653.855632081024
7	35	0.011	15653.855632081024
8	40	0.013	15641.15294140408
9	45	0.014	15641.15294140408
10	50	0.015	15621.770408369859
11	55	0.016	15580.312070282469
12	60	0.017	15580.312070282469
13	65	0.018	15580.312070282469
14	70	0.019	15530.938508875908
15	75	0.02	15530.938508875908
16	80	0.021	15530.938508875908
17	85	0.022	15530.938508875908
18	90	0.023	15530.938508875908
19	95	0.024	15530.938508875908
20	100	0.024	15530.938508875908
21	105	0.025	15507.757214634054
22	110	0.026	15507.757214634054
23	115	0.027	15507.757214634054
24	120	0.027	15439.612128536308
25	125	0.028	15439.612128536308
26	130	0.028	15439.612128536308
27	135	0.029	15439.612128536308
28	140	0.029	15427.632068941015
29	145	0.03	15427.632068941015
30	150	0.03	15427.632068941015
31	155	0.031	15427.632068941015
32	160	0.031	15427.632068941015
33	165	0.032	15420.206725415224
34	170	0.032	15417.81966923233
35	175	0.033	15394.218815794913
36	180	0.033	15329.813227774335
37	185	0.034	15264.72844619918
38	190	0.034	15264.72844619918
39	195	0.035	15098.548099459917
40	200	0.035	15098.548099459917
41	205	0.036	14925.819741479969
42	210	0.036	14925.819741479969
43	215	0.037	14925.819741479969
44	220	0.037	14922.969128000399
45	225	0.038	14922.969128000399
46	230	0.038	14922.969128000399
47	235	0.039	14922.969128000399
48	240	0.039	14922.15009947304
49	245	0.04	14922.15009947304
50	250	0.04	14865.701444162467
51	255	0.041	14865.701444162467
52	260	0.041	14854.451247581363
53	265	0.042	14854.451247581363
54	270	0.042	14823.011116628879
55	275	0.043	14823.011116628879
56	280	0.043	14823.011116628879
57	285	0.044	14823.011116628879
58	290	0.044	14671.162415857982
59	295	0.045	14671.162415857982
60	300	0.045	14671.162415857982
61	305	0.045	14671.162415857982
62	310	0.046	14671.162415857982
63	315	0.046	14653.110399801822
64	320	0.046	14643.226375316139
65	325	0.047	14643.226375316139
66	330	0.048	14541.960408053716
67	335	0.048	14541.960408053716
68	340	0.049	14518.754367234254
69	345	0.049	14420.264645671696
70	350	0.05	14416.766047728817
71	355	0.05	14398.256569058465
72	360	0.051	14388.360457395896
73	365	0.052	14302.437656261822
74	370	0.052	14302.437656261822
75	375	0.053	14302.437656261822
76	380	0.054	14302.437656261822
77	385	0.054	14302.437656261822
78	390	0.054	14302.437656261822
79	395	0.055	14302.437656261822
80	400	0.055	14290.616114558605
81	405	0.055	14290.616114558605
82	410	0.056	14249.218112296054
83	415	0.056	14249.218112296054
84	420	0.056	14249.218112296054
85	425	0.057	14222.326651824264
86	430	0.058	14179.177265697052
87	435	0.058	14179.177265697052
88	440	0.059	14179.177265697052
89	445	0.059	14179.177265697052
90	450	0.06	14170.660451183496
91	455	0.06	14170.660451183496
92	460	0.06	14170.660451183496
93	465	0.061	14146.754284802159
94	470	0.061	14102.058748056299
95	475	0.061	14102.058748056299
96	480	0.062	14102.058748056299
97	485	0.062	14102.058748056299
98	490	0.062	14092.009912033218
99	495	0.063	14054.389724916715
100	500	0.063	14054.389724916715
101	505	0.064	14054.389724916715
102	510	0.064	14054.389724916715
103	515	0.064	14054.389724916715
104	520	0.065	14054.389724916715
105	525	0.065	14041.89233572178
106	530	0.065	14041.89233572178
107	535	0.066	13995.172073508347
108	540	0.066	13978.123016393569
109	545	0.066	13978.123016393569
110	550	0.067	13978.123016393569
111	555	0.067	13978.123016393569
112	560	0.067	13978.123016393569
113	565	0.067	13874.956934198508
114	570	0.068	13874.956934198508
115	575	0.068	13874.956934198508
116	580	0.068	13822.988222600563
117	585	0.069	13765.294365826003
118	590	0.069	13765.294365826003
119	595	0.069	13765.294365826003
120	600	0.069	13765.294365826003
121	605	0.07	13765.294365826003
122	610	0.07	13634.41719221344
123	615	0.071	13634.41719221344
124	620	0.071	13634.41719221344
125	625	0.071	13634.41719221344
126	630	0.071	13606.859838832552
127	635	0.072	13606.859838832552
128	640	0.072	13606.859838832552
129	645	0.073	13606.859838832552
130	650	0.073	13606.859838832552
131	655	0.073	13568.51212057779
132	660	0.073	13566.965946396349
133	665	0.074	13545.828039125321
134	670	0.074	13545.828039125321
135	675	0.074	13531.68837694515
136	680	0.074	13531.68837694515
137	685	0.075	13531.68837694515
138	690	0.075	13527.102225989287
139	695	0.075	13435.727559997782
140	700	0.076	13435.727559997782
141	705	0.076	13380.711515592526
142	710	0.076	13380.711515592526
143	715	0.077	13380.711515592526
144	720	0.077	13380.711515592526
145	725	0.077	13380.711515592526
146	730	0.078	13380.711515592526
147	735	0.078	13380.711515592526
148	740	0.078	13375.643232081371
149	745	0.078	13354.794527122704
150	750	0.079	13354.794527122704
151	755	0.079	13354.794527122704
152	760	0.079	13334.703109736956
153	765	0.08	13334.703109736956
154	770	0.08	13308.179963080573
155	775	0.08	13308.179963080573
156	780	0.08	13308.179963080573
157	785	0.081	13308.179963080573
158	790	0.081	13308.179963080573
159	795	0.081	13308.179963080573
160	800	0.082	13237.310556222128
161	805	0.082	13237.310556222128
162	810	0.084	13162.309798613247
163	815	0.085	13162.309798613247
164	820	0.085	13162.309798613247
165	825	0.085	13137.141995103422
166	830	0.086	13108.866272002797
167	835	0.086	13063.59730802616
168	840	0.086	13063.59730802616
169	845	0.086	13063.59730802616
170	850	0.087	13063.59730802616
171	855	0.087	13063.59730802616
172	860	0.087	13041.892272770025
173	865	0.087	13041.892272770025
174	870	0.088	13041.892272770025
175	875	0.088	13041.892272770025
176	880	0.089	13041.892272770025
177	885	0.089	13037.638954635173
178	890	0.089	13037.638954635173
179	895	0.089	13037.638954635173
180	900	0.09	13037.638954635173
181	905	0.09	13037.638954635173
182	910	0.09	13037.638954635173
183	915	0.091	13037.638954635173
184	920	0.091	13037.638954635173
185	925	0.091	13037.638954635173
186	930	0.091	13037.638954635173
187	935	0.092	13037.638954635173
188	940	0.092	13037.638954635173
189	945	0.092	13012.394421093528
190	950	0.093	13012.394421093528
191	955	0.093	13012.394421093528
192	960	0.093	13010.714841015908
193	965	0.093	12985.178139431287
194	970	0.094	12985.178139431287
195	975	0.094	12958.63773618664
196	980	0.094	12924.151866740176
197	985	0.095	12924.151866740176
198	990	0.095	12924.151866740176
199	995	0.095	12922.178034897863
200	1000	0.096	12922.178034897863
201	1005	0.096	12922.178034897863
202	1010	0.096	12922.178034897863
203	1015	0.097	12922.178034897863
204	1020	0.097	12922.178034897863
205	1025	0.098	12922.178034897863
206	1030	0.098	12892.218958521256
207	1035	0.098	12846.443549295025
208	1040	0.099	12846.443549295025
209	1045	0.099	12838.102739557562
210	1050	0.099	12779.07654269784
211	1055	0.099	12779.07654269784
212	1060	0.1	12779.07654269784
213	1065	0.1	12779.07654269784
214	1070	0.1	12779.07654269784
215	1075	0.101	12779.07654269784
216	1080	0.101	12779.07654269784
217	1085	0.101	12779.07654269784
218	1090	0.102	12675.509015988759
219	1095	0.102	12675.509015988759
220	1100	0.102	12675.509015988759
221	1105	0.103	12675.509015988759
222	1110	0.103	12661.312579323525
223	1115	0.103	12661.312579323525
224	1120	0.104	12650.455677713351
225	1125	0.104	12639.409617952477
226	1130	0.104	12588.452259193455
227	1135	0.105	12588.452259193455
228	1140	0.105	12588.452259193455
229	1145	0.106	12588.452259193455
230	1150	0.106	12588.452259193455
231	1155	0.106	12588.452259193455
232	1160	0.106	12588.452259193455
233	1165	0.107	12586.86768878264
