iteration	evaluations	runtime[s]	distance[MIN]
1	137	0.02	14474.708419873772
2	274	0.036	14474.708419873772
3	411	0.05	14414.285578687199
4	548	0.06	14414.285578687199
5	685	0.07	14203.178561500366
6	822	0.078	14167.289297582816
7	959	0.086	13999.083983615521
8	1096	0.094	13967.778370174836
9	1233	0.103	13777.705896777892
10	1370	0.111	13709.32227045081
11	1507	0.119	13692.364961913961
12	1644	0.129	13576.139007933802
13	1781	0.137	13549.544099779554
14	1918	0.146	13464.424375734625
15	2055	0.155	13464.424375734625
16	2192	0.162	13420.081072649704
17	2329	0.175	13388.417490535932
18	2466	0.179	13339.346723167198
19	2603	0.184	13339.346723167198
20	2740	0.191	13339.346723167198
21	2877	0.198	13296.02580603912
22	3014	0.205	13226.02002361567
23	3151	0.211	13226.02002361567
24	3288	0.218	13226.02002361567
25	3425	0.222	13189.395198793974
26	3562	0.227	13189.395198793974
27	3699	0.232	13072.485056298308
28	3836	0.237	12988.926368952054
29	3973	0.242	12988.926368952054
30	4110	0.246	12988.926368952054
31	4247	0.251	12988.926368952054
32	4384	0.255	12988.926368952054
33	4521	0.26	12849.640068427401
34	4658	0.264	12841.096969793954
35	4795	0.268	12841.096969793954
36	4932	0.273	12812.17462985943
37	5069	0.277	12625.337559952122
38	5206	0.281	12625.337559952122
39	5343	0.286	12625.337559952122
40	5480	0.29	12625.337559952122
41	5617	0.294	12617.091307727096
42	5754	0.299	12490.749859230742
43	5891	0.304	12490.749859230742
44	6028	0.308	12490.749859230742
45	6165	0.312	12490.749859230742
46	6302	0.321	12231.040370413637
47	6439	0.325	12231.040370413637
48	6576	0.33	12231.040370413637
49	6713	0.334	12231.040370413637
50	6850	0.339	12194.927102427384
51	6987	0.343	12194.927102427384
52	7124	0.348	12194.927102427384
53	7261	0.353	12167.728334485862
54	7398	0.358	12077.662556123933
55	7535	0.362	12034.109318755973
56	7672	0.367	11978.807804833306
57	7809	0.371	11886.252780152598
58	7946	0.375	11886.252780152598
59	8083	0.38	11881.0965960962
60	8220	0.384	11880.631751065099
61	8357	0.388	11763.583338159362
62	8494	0.392	11703.023755623062
63	8631	0.396	11703.023755623062
64	8768	0.401	11703.023755623062
65	8905	0.405	11703.023755623062
66	9042	0.409	11703.023755623062
67	9179	0.413	11631.929388086186
68	9316	0.417	11460.164150144448
69	9453	0.421	11460.164150144448
70	9590	0.425	11448.620201306818
71	9727	0.429	11440.817811271028
72	9864	0.434	11440.817811271028
73	10001	0.438	11440.817811271028
74	10138	0.442	11411.630326842684
75	10275	0.449	11359.541325511569
76	10412	0.454	11359.541325511569
77	10549	0.458	11339.03063527815
78	10686	0.463	11316.58211231361
