iteration	evaluations	runtime[s]	distance[MIN]
1	137	0.021	14878.828702128036
2	274	0.037	14817.157129820971
3	411	0.052	14671.844933751961
4	548	0.062	14361.92941238945
5	685	0.072	14361.92941238945
6	822	0.08	14361.92941238945
7	959	0.088	14332.089406759125
8	1096	0.099	14160.021383860261
9	1233	0.109	14160.021383860261
10	1370	0.118	14015.56786339183
11	1507	0.126	14006.621228528451
12	1644	0.135	13740.933433777982
13	1781	0.143	13672.143859122543
14	1918	0.151	13639.691747693614
15	2055	0.16	13639.691747693614
16	2192	0.169	13635.877368591677
17	2329	0.183	13599.43013980933
18	2466	0.193	13472.408313645195
19	2603	0.202	13472.408313645195
20	2740	0.211	13307.39870627289
21	2877	0.218	13307.39870627289
22	3014	0.225	13281.339807705022
23	3151	0.23	13281.339807705022
24	3288	0.236	13028.730683523057
25	3425	0.244	13028.730683523057
26	3562	0.251	12979.20802051738
27	3699	0.258	12979.20802051738
28	3836	0.263	12922.508550292268
29	3973	0.268	12922.508550292268
30	4110	0.273	12922.508550292268
31	4247	0.278	12902.729474668384
32	4384	0.282	12556.606026314188
33	4521	0.287	12556.606026314188
34	4658	0.292	12556.606026314188
35	4795	0.297	12556.606026314188
36	4932	0.301	12556.606026314188
37	5069	0.306	12556.606026314188
38	5206	0.31	12556.606026314188
39	5343	0.315	12556.606026314188
40	5480	0.321	12543.521720413359
41	5617	0.327	12453.716540288451
42	5754	0.334	12453.716540288451
43	5891	0.34	12410.719999256873
44	6028	0.344	12410.719999256873
45	6165	0.349	12397.666587235255
46	6302	0.358	12233.657310008288
47	6439	0.362	12233.657310008288
48	6576	0.367	12181.388952486512
49	6713	0.372	12181.388952486512
50	6850	0.379	12156.729023415963
51	6987	0.385	12147.17532161281
52	7124	0.392	12075.779039453846
53	7261	0.398	12041.000264476934
54	7398	0.404	12041.000264476934
55	7535	0.409	12041.000264476934
56	7672	0.413	12026.360407529815
57	7809	0.419	11943.207792607116
58	7946	0.424	11877.054861807543
59	8083	0.429	11825.05927032817
60	8220	0.434	11825.05927032817
61	8357	0.44	11815.523047552366
62	8494	0.444	11748.42895999421
63	8631	0.449	11748.42895999421
64	8768	0.454	11731.32925254154
65	8905	0.459	11677.627661236795
