iteration	evaluations	runtime[s]	distance[MIN]
1	137	0.022	14673.001061505684
2	274	0.037	14474.333352795036
3	411	0.049	14474.333352795036
4	548	0.058	14474.333352795036
5	685	0.065	14474.333352795036
6	822	0.074	14351.513172258672
7	959	0.081	14315.374215824475
8	1096	0.087	14053.325732407264
9	1233	0.094	13871.503237947301
10	1370	0.102	13827.928938997167
11	1507	0.108	13827.928938997167
12	1644	0.114	13819.299740244327
13	1781	0.121	13723.382733062208
14	1918	0.127	13723.382733062208
15	2055	0.133	13688.7805966822
16	2192	0.138	13684.331597351045
17	2329	0.144	13574.05099068426
18	2466	0.15	13574.05099068426
19	2603	0.156	13401.149019948944
20	2740	0.167	13401.149019948944
21	2877	0.171	13351.41642405375
22	3014	0.176	13348.935591939568
23	3151	0.18	13348.935591939568
24	3288	0.184	13343.83936635628
25	3425	0.188	13335.052116918227
26	3562	0.193	13335.052116918227
27	3699	0.197	13263.192611132386
28	3836	0.202	13134.016020542684
29	3973	0.206	13106.722700470156
30	4110	0.21	13106.722700470156
31	4247	0.214	12907.28204133926
32	4384	0.22	12907.28204133926
33	4521	0.224	12857.429099978106
34	4658	0.228	12854.986754662388
35	4795	0.232	12854.986754662388
36	4932	0.236	12749.192890392806
37	5069	0.24	12749.192890392806
38	5206	0.244	12749.192890392806
39	5343	0.248	12605.749755479697
40	5480	0.252	12555.118129125796
41	5617	0.257	12555.118129125796
42	5754	0.262	12555.118129125796
43	5891	0.266	12555.118129125796
44	6028	0.271	12554.940769599361
45	6165	0.275	12471.150991880615
46	6302	0.279	12471.150991880615
47	6439	0.283	12471.150991880615
48	6576	0.287	12446.709847937746
49	6713	0.291	12410.752392694641
50	6850	0.295	12355.3637989646
51	6987	0.299	12355.3637989646
52	7124	0.303	12355.3637989646
53	7261	0.307	12355.3637989646
54	7398	0.312	12189.565183387265
55	7535	0.321	12189.565183387265
56	7672	0.326	12189.565183387265
57	7809	0.33	12189.565183387265
58	7946	0.334	12189.565183387265
59	8083	0.339	12169.92891633957
60	8220	0.343	12111.576991761845
61	8357	0.348	12111.576991761845
62	8494	0.353	12111.576991761845
63	8631	0.357	12047.09452884754
64	8768	0.361	12047.09452884754
65	8905	0.367	11994.404301737406
66	9042	0.371	11994.404301737406
67	9179	0.375	11970.726764431676
68	9316	0.379	11841.008801442622
69	9453	0.383	11841.008801442622
70	9590	0.387	11807.949195826215
71	9727	0.39	11807.949195826215
72	9864	0.395	11807.949195826215
73	10001	0.399	11748.612417729872
74	10138	0.403	11748.612417729872
75	10275	0.407	11748.612417729872
76	10412	0.411	11596.697119939961
77	10549	0.415	11596.697119939961
78	10686	0.419	11596.697119939961
79	10823	0.423	11586.939407785314
80	10960	0.428	11538.637271693204
81	11097	0.433	11538.637271693204
82	11234	0.439	11538.637271693204
83	11371	0.444	11538.637271693204
84	11508	0.45	11452.766869912506
85	11645	0.455	11452.766869912506
86	11782	0.46	11450.298583392107
87	11919	0.464	11450.298583392107
88	12056	0.467	11423.511751414466
89	12193	0.471	11402.321976608022
