iteration	evaluations	runtime[s]	distance[MIN]
1	5	0.003	14819.735981679882
2	10	0.006	14819.735981679882
3	15	0.007	14819.735981679882
4	20	0.008	14750.495635033054
5	25	0.009	14750.495635033054
6	30	0.01	14750.495635033054
7	35	0.011	14630.536123842841
8	40	0.012	14630.536123842841
9	45	0.013	14630.536123842841
10	50	0.014	14630.536123842841
11	55	0.015	14619.371179826609
12	60	0.016	14574.776753269602
13	65	0.017	14574.776753269602
14	70	0.018	14574.776753269602
15	75	0.019	14574.776753269602
16	80	0.02	14484.861852329712
17	85	0.021	14484.861852329712
18	90	0.022	14484.861852329712
19	95	0.023	14484.861852329712
20	100	0.024	14455.794361613516
21	105	0.024	14455.794361613516
22	110	0.025	14455.794361613516
23	115	0.026	14455.794361613516
24	120	0.026	14422.017809719164
25	125	0.027	14394.247523891314
26	130	0.028	14394.247523891314
27	135	0.028	14394.247523891314
28	140	0.029	14394.247523891314
29	145	0.029	14394.247523891314
30	150	0.03	14389.482033042634
31	155	0.03	14342.999454813897
32	160	0.031	14342.999454813897
33	165	0.031	14342.999454813897
34	170	0.032	14342.999454813897
35	175	0.032	14342.999454813897
36	180	0.033	14330.36894572073
37	185	0.034	14294.906718723418
38	190	0.034	14294.906718723418
39	195	0.034	14257.812918150394
40	200	0.035	14250.60583655468
41	205	0.035	14236.585836077424
42	210	0.036	14236.585836077424
43	215	0.037	14236.585836077424
44	220	0.037	14236.585836077424
45	225	0.038	14122.148460476883
46	230	0.038	14122.148460476883
47	235	0.039	14122.148460476883
48	240	0.039	14122.148460476883
49	245	0.04	14052.404595434798
50	250	0.04	14052.404595434798
51	255	0.041	13968.67601362902
52	260	0.041	13968.67601362902
53	265	0.042	13968.67601362902
54	270	0.042	13968.67601362902
55	275	0.042	13967.266752894624
56	280	0.043	13967.266752894624
57	285	0.043	13961.48160511255
58	290	0.044	13961.48160511255
59	295	0.044	13961.48160511255
60	300	0.045	13938.55314171106
61	305	0.045	13938.55314171106
62	310	0.046	13938.55314171106
63	315	0.046	13933.593361562776
64	320	0.047	13923.378640381807
65	325	0.047	13923.378640381807
66	330	0.047	13923.378640381807
67	335	0.048	13832.731477834603
68	340	0.048	13832.731477834603
69	345	0.049	13832.731477834603
70	350	0.05	13809.224094261432
71	355	0.05	13809.224094261432
72	360	0.05	13808.510514519205
73	365	0.051	13808.510514519205
74	370	0.051	13768.414543900553
75	375	0.052	13768.414543900553
76	380	0.052	13768.414543900553
77	385	0.053	13768.414543900553
78	390	0.053	13624.73246447612
79	395	0.054	13624.73246447612
80	400	0.054	13593.115018821567
81	405	0.054	13593.115018821567
82	410	0.055	13582.551182625002
83	415	0.055	13516.740244307852
84	420	0.056	13516.740244307852
85	425	0.056	13516.740244307852
86	430	0.057	13516.740244307852
87	435	0.057	13489.122870595855
88	440	0.058	13435.94791753778
89	445	0.058	13435.94791753778
90	450	0.058	13435.94791753778
91	455	0.059	13425.524457256872
92	460	0.059	13425.524457256872
93	465	0.059	13425.524457256872
94	470	0.06	13425.524457256872
95	475	0.06	13425.524457256872
96	480	0.061	13425.524457256872
97	485	0.061	13413.63327805856
98	490	0.061	13413.63327805856
99	495	0.061	13413.63327805856
100	500	0.062	13413.63327805856
101	505	0.062	13413.63327805856
102	510	0.062	13390.07084401123
103	515	0.063	13390.07084401123
104	520	0.063	13390.07084401123
105	525	0.063	13390.07084401123
106	530	0.064	13390.07084401123
107	535	0.064	13390.07084401123
108	540	0.064	13390.07084401123
109	545	0.065	13369.891181474357
110	550	0.065	13369.891181474357
111	555	0.066	13322.118603382953
112	560	0.066	13322.118603382953
113	565	0.066	13322.118603382953
114	570	0.066	13289.90454793106
115	575	0.067	13289.90454793106
116	580	0.067	13289.90454793106
117	585	0.067	13287.010870276235
118	590	0.067	13226.100217037181
119	595	0.068	13226.100217037181
120	600	0.068	13226.100217037181
121	605	0.068	13226.100217037181
122	610	0.069	13226.100217037181
123	615	0.069	13226.100217037181
124	620	0.069	13226.100217037181
125	625	0.07	13101.726826277321
126	630	0.07	13101.726826277321
127	635	0.07	13010.049009973745
128	640	0.07	13006.168696540886
129	645	0.071	13006.168696540886
130	650	0.071	13006.168696540886
131	655	0.071	13006.168696540886
132	660	0.072	13006.168696540886
133	665	0.072	13006.168696540886
134	670	0.072	13006.168696540886
135	675	0.072	13006.168696540886
136	680	0.073	13006.168696540886
137	685	0.073	12944.33486872374
138	690	0.073	12944.33486872374
139	695	0.073	12944.33486872374
140	700	0.074	12879.475909201241
141	705	0.074	12879.475909201241
142	710	0.075	12879.475909201241
143	715	0.075	12879.475909201241
144	720	0.075	12879.475909201241
145	725	0.076	12879.475909201241
146	730	0.076	12869.136723941474
147	735	0.076	12869.136723941474
148	740	0.076	12869.136723941474
149	745	0.077	12818.380137269834
150	750	0.077	12818.380137269834
151	755	0.078	12818.380137269834
152	760	0.078	12818.380137269834
153	765	0.078	12818.380137269834
154	770	0.078	12818.380137269834
155	775	0.079	12818.380137269834
156	780	0.079	12818.380137269834
157	785	0.079	12818.380137269834
158	790	0.08	12818.380137269834
159	795	0.08	12770.450137437247
160	800	0.08	12770.450137437247
161	805	0.08	12770.450137437247
162	810	0.083	12714.032695763266
163	815	0.083	12714.032695763266
164	820	0.084	12714.032695763266
165	825	0.084	12714.032695763266
166	830	0.084	12701.060130703581
167	835	0.085	12701.060130703581
168	840	0.085	12701.060130703581
169	845	0.086	12670.425612974943
170	850	0.086	12670.425612974943
171	855	0.086	12667.221443571538
172	860	0.086	12667.221443571538
173	865	0.087	12665.709819187783
174	870	0.087	12665.709819187783
175	875	0.087	12603.409297340344
176	880	0.088	12603.409297340344
177	885	0.088	12603.409297340344
178	890	0.088	12603.409297340344
179	895	0.089	12603.409297340344
180	900	0.089	12603.409297340344
181	905	0.089	12603.409297340344
182	910	0.09	12603.409297340344
183	915	0.09	12603.409297340344
184	920	0.09	12603.409297340344
185	925	0.09	12583.414590607643
186	930	0.091	12583.414590607643
187	935	0.091	12583.414590607643
188	940	0.091	12583.414590607643
189	945	0.091	12547.350305204507
190	950	0.092	12531.439145363642
191	955	0.092	12531.439145363642
192	960	0.092	12531.439145363642
193	965	0.093	12531.439145363642
194	970	0.093	12531.439145363642
195	975	0.093	12483.607403810285
196	980	0.093	12483.607403810285
197	985	0.094	12483.607403810285
198	990	0.094	12483.607403810285
199	995	0.095	12483.607403810285
200	1000	0.095	12483.607403810285
201	1005	0.095	12467.085011684321
202	1010	0.096	12467.085011684321
203	1015	0.096	12467.085011684321
204	1020	0.096	12467.085011684321
205	1025	0.097	12467.085011684321
206	1030	0.097	12467.085011684321
207	1035	0.098	12458.014988250558
208	1040	0.098	12458.014988250558
209	1045	0.099	12458.014988250558
210	1050	0.099	12457.395735227066
211	1055	0.099	12457.395735227066
212	1060	0.1	12455.969027944593
213	1065	0.1	12455.969027944593
214	1070	0.1	12418.09648160485
215	1075	0.1	12418.09648160485
216	1080	0.1	12418.09648160485
217	1085	0.101	12418.09648160485
218	1090	0.101	12418.09648160485
219	1095	0.101	12418.09648160485
220	1100	0.101	12418.09648160485
221	1105	0.102	12418.09648160485
222	1110	0.102	12418.09648160485
223	1115	0.102	12418.09648160485
224	1120	0.102	12418.09648160485
225	1125	0.103	12418.09648160485
226	1130	0.103	12418.09648160485
227	1135	0.103	12373.581139534119
228	1140	0.103	12373.581139534119
229	1145	0.104	12373.581139534119
230	1150	0.104	12373.581139534119
231	1155	0.104	12370.939297835674
232	1160	0.105	12370.939297835674
233	1165	0.105	12370.939297835674
