iteration	evaluations	runtime[s]	distance[MIN]
1	137	0.029	14790.299798157052
2	274	0.047	14790.299798157052
3	411	0.062	14763.354309062042
4	548	0.07	14512.121213238488
5	685	0.078	14512.121213238488
6	822	0.085	14512.121213238488
7	959	0.093	14363.741107315247
8	1096	0.101	14363.741107315247
9	1233	0.108	14363.741107315247
10	1370	0.116	14273.638250140275
11	1507	0.122	14241.945557378076
12	1644	0.129	14232.441201840504
13	1781	0.136	14232.441201840504
14	1918	0.143	14062.935320193203
15	2055	0.149	14062.935320193203
16	2192	0.155	13988.155060401174
17	2329	0.162	13967.036345902681
18	2466	0.168	13820.559930373796
19	2603	0.173	13816.822724854459
20	2740	0.183	13816.822724854459
21	2877	0.19	13753.642264922446
22	3014	0.197	13753.642264922446
23	3151	0.203	13688.37060460973
24	3288	0.209	13631.053249229071
25	3425	0.215	13589.120347989503
26	3562	0.221	13581.404866630253
27	3699	0.226	13575.854903125917
28	3836	0.23	13505.632378644184
29	3973	0.234	13463.772244656877
30	4110	0.238	13375.81710576129
31	4247	0.242	13359.841319560344
32	4384	0.246	13359.841319560344
33	4521	0.25	13319.140016557041
34	4658	0.254	13163.555731980043
35	4795	0.258	13163.555731980043
36	4932	0.263	13163.555731980043
37	5069	0.267	13065.975099851352
38	5206	0.271	13065.975099851352
39	5343	0.275	13065.975099851352
40	5480	0.279	13045.898317682295
41	5617	0.283	12964.085536626
42	5754	0.287	12932.365949886345
43	5891	0.291	12812.392030977526
44	6028	0.296	12812.392030977526
45	6165	0.3	12812.392030977526
46	6302	0.304	12812.392030977526
47	6439	0.308	12812.392030977526
48	6576	0.312	12812.392030977526
49	6713	0.317	12753.649259890037
50	6850	0.321	12731.654094783511
51	6987	0.325	12605.489917058776
52	7124	0.329	12570.99118868065
53	7261	0.333	12570.99118868065
54	7398	0.342	12570.99118868065
55	7535	0.346	12514.310052969628
56	7672	0.35	12446.74426705622
57	7809	0.354	12446.74426705622
58	7946	0.358	12422.974867433837
59	8083	0.362	12422.974867433837
60	8220	0.366	12363.695503123361
61	8357	0.37	12291.653232122953
62	8494	0.374	12291.653232122953
63	8631	0.378	12240.959514780272
64	8768	0.382	12240.959514780272
65	8905	0.386	12240.959514780272
66	9042	0.391	12133.710277388294
67	9179	0.395	12133.710277388294
68	9316	0.4	12133.710277388294
69	9453	0.404	12121.861818300391
70	9590	0.408	11957.0572342838
71	9727	0.412	11957.0572342838
72	9864	0.416	11893.46181788847
73	10001	0.42	11893.46181788847
74	10138	0.424	11893.46181788847
75	10275	0.428	11892.464539220438
76	10412	0.432	11882.59560476444
77	10549	0.436	11796.503867449108
78	10686	0.44	11796.503867449108
79	10823	0.444	11767.451182844237
80	10960	0.448	11743.88241036908
81	11097	0.452	11743.88241036908
82	11234	0.455	11671.914458086132
83	11371	0.459	11612.193219047322
84	11508	0.463	11612.193219047322
85	11645	0.467	11603.228782721857
86	11782	0.471	11603.228782721857
87	11919	0.476	11559.86522676217
88	12056	0.481	11535.344088676371
89	12193	0.503	11535.344088676371
90	12330	0.507	11503.179424999955
91	12467	0.511	11489.714283544174
92	12604	0.516	11489.714283544174
93	12741	0.52	11489.714283544174
94	12878	0.525	11489.714283544174
95	13015	0.53	11442.927507716116
96	13152	0.535	11442.927507716116
97	13289	0.54	11442.927507716116
98	13426	0.545	11392.348854754639
99	13563	0.549	11392.348854754639
100	13700	0.553	11392.348854754639
101	13837	0.557	11375.85950045181
102	13974	0.561	11361.036606501231
103	14111	0.565	11342.399852057659
104	14248	0.569	11312.791400666949
105	14385	0.573	11312.791400666949
106	14522	0.577	11312.791400666949
107	14659	0.581	11310.0649058346
108	14796	0.585	11310.0649058346
109	14933	0.589	11214.233835742958
110	15070	0.593	11214.233835742958
111	15207	0.596	11153.60316147584
112	15344	0.6	11153.60316147584
113	15481	0.604	11146.86728872263
114	15618	0.608	11146.86728872263
115	15755	0.611	11094.13992708254
116	15892	0.615	11094.13992708254
117	16029	0.618	11065.36028828364
118	16166	0.623	11065.36028828364
119	16303	0.626	11029.511816098333
120	16440	0.63	10926.859471265892
121	16577	0.634	10926.859471265892
122	16714	0.638	10926.859471265892
123	16851	0.642	10900.569895426735
124	16988	0.645	10900.569895426735
125	17125	0.653	10870.764642378572
126	17262	0.657	10870.764642378572
