iteration	evaluations	runtime[s]	distance[MIN]
1	137	0.021	14636.620147541325
2	274	0.039	14636.620147541325
3	411	0.055	14636.620147541325
4	548	0.065	14544.171466844275
5	685	0.075	14532.927991426499
6	822	0.083	14157.345627793109
7	959	0.093	13950.34203245144
8	1096	0.103	13950.34203245144
9	1233	0.113	13591.199335953977
10	1370	0.121	13591.199335953977
11	1507	0.13	13591.199335953977
12	1644	0.137	13586.175120687349
13	1781	0.142	13448.822521849454
14	1918	0.148	13448.822521849454
15	2055	0.153	13448.822521849454
16	2192	0.158	13448.822521849454
17	2329	0.169	13412.473145773278
18	2466	0.174	13412.473145773278
19	2603	0.179	13351.4612871645
20	2740	0.184	13341.45563925295
21	2877	0.189	13341.45563925295
22	3014	0.194	13218.905874731314
23	3151	0.199	13218.905874731314
24	3288	0.204	13108.197416627016
25	3425	0.209	13108.197416627016
26	3562	0.214	13096.791648804587
27	3699	0.219	13083.751349618982
28	3836	0.225	13083.751349618982
29	3973	0.23	13044.845653493248
30	4110	0.234	13044.845653493248
31	4247	0.24	13044.845653493248
32	4384	0.244	13030.259552164249
33	4521	0.248	12937.0105077724
34	4658	0.253	12882.203826922349
35	4795	0.258	12882.203826922349
36	4932	0.263	12882.203826922349
37	5069	0.267	12882.203826922349
38	5206	0.272	12821.693366443607
39	5343	0.281	12821.693366443607
40	5480	0.286	12821.693366443607
41	5617	0.29	12707.378668768552
42	5754	0.295	12680.341251874577
43	5891	0.3	12680.341251874577
44	6028	0.304	12558.94571646653
45	6165	0.309	12537.23906359372
46	6302	0.317	12476.705511655024
47	6439	0.322	12476.705511655024
48	6576	0.327	12201.284579385314
49	6713	0.331	12191.727549787263
50	6850	0.336	12191.727549787263
51	6987	0.341	12168.440675145857
52	7124	0.346	12168.440675145857
53	7261	0.351	12147.184386733752
54	7398	0.356	12114.71106510887
55	7535	0.36	12114.71106510887
56	7672	0.364	12114.71106510887
57	7809	0.369	12032.419647931107
58	7946	0.374	12032.419647931107
59	8083	0.378	11967.256976684332
60	8220	0.383	11957.85113132657
61	8357	0.387	11957.85113132657
62	8494	0.391	11924.209506448375
63	8631	0.395	11921.111519566997
64	8768	0.399	11893.213632569037
65	8905	0.404	11822.914389917967
66	9042	0.408	11748.434070742142
67	9179	0.412	11748.434070742142
68	9316	0.417	11730.243038812314
69	9453	0.422	11712.532152436652
70	9590	0.426	11712.532152436652
71	9727	0.431	11667.406963933643
72	9864	0.436	11545.692311739807
73	10001	0.44	11507.923678465593
74	10138	0.445	11507.923678465593
75	10275	0.452	11490.175823428503
76	10412	0.456	11343.311175225987
77	10549	0.461	11343.311175225987
78	10686	0.465	11319.35680734705
79	10823	0.47	11299.159841569033
80	10960	0.475	11255.615245362102
81	11097	0.479	11246.81986365077
82	11234	0.484	11246.81986365077
83	11371	0.488	11203.00560735813
84	11508	0.495	11153.201744775188
85	11645	0.501	11153.201744775188
86	11782	0.507	11153.201744775188
87	11919	0.513	11153.201744775188
88	12056	0.52	11124.073696240917
89	12193	0.525	11057.880372730162
90	12330	0.529	11057.880372730162
91	12467	0.533	11057.880372730162
92	12604	0.538	11052.569829480533
93	12741	0.542	11021.526917609739
94	12878	0.546	11021.526917609739
95	13015	0.55	10967.575019179387
96	13152	0.555	10906.887115845115
97	13289	0.559	10906.887115845115
98	13426	0.563	10906.887115845115
99	13563	0.567	10906.887115845115
100	13700	0.571	10875.02272775499
101	13837	0.575	10870.110204220218
102	13974	0.58	10839.346353152492
103	14111	0.584	10804.49773053894
104	14248	0.588	10785.979968814736
105	14385	0.597	10785.979968814736
106	14522	0.601	10766.484910256262
107	14659	0.605	10724.810175851324
108	14796	0.61	10722.170854515613
109	14933	0.614	10702.651070364705
110	15070	0.618	10656.635744560555
111	15207	0.622	10635.272724671897
112	15344	0.627	10598.772037835639
113	15481	0.631	10598.772037835639
114	15618	0.635	10598.772037835639
115	15755	0.639	10551.398676194616
116	15892	0.643	10536.835549389683
117	16029	0.647	10453.814723699068
118	16166	0.651	10453.814723699068
119	16303	0.655	10453.814723699068
120	16440	0.66	10450.160784478683
121	16577	0.664	10402.241212170975
122	16714	0.668	10402.241212170975
123	16851	0.672	10363.337930524242
124	16988	0.676	10345.111261807438
125	17125	0.68	10345.111261807438
126	17262	0.683	10338.307419422974
127	17399	0.688	10273.091840314844
128	17536	0.692	10273.091840314844
129	17673	0.696	10267.307153373335
130	17810	0.7	10255.234093450079
131	17947	0.704	10152.64436301145
132	18084	0.708	10152.64436301145
133	18221	0.712	10129.843823323768
134	18358	0.716	10129.843823323768
135	18495	0.72	10129.843823323768
