iteration	evaluations	runtime[s]	distance[MIN]
1	5	0.003	15291.688504500979
2	10	0.005	15291.688504500979
3	15	0.007	15227.315876115985
4	20	0.009	15227.315876115985
5	25	0.01	15192.981630049408
6	30	0.011	15192.981630049408
7	35	0.012	15192.981630049408
8	40	0.013	15163.486607878824
9	45	0.014	15142.204515279545
10	50	0.015	15092.693774615374
11	55	0.016	15017.669267723828
12	60	0.017	14990.616185939609
13	65	0.018	14860.680020636242
14	70	0.019	14860.680020636242
15	75	0.02	14852.007903295778
16	80	0.02	14852.007903295778
17	85	0.021	14716.139958606147
18	90	0.022	14716.139958606147
19	95	0.023	14716.139958606147
20	100	0.024	14711.486180964122
21	105	0.025	14634.152808060138
22	110	0.026	14567.37441013149
23	115	0.026	14485.823646884935
24	120	0.027	14485.823646884935
25	125	0.028	14390.984017895711
26	130	0.028	14390.984017895711
27	135	0.029	14390.984017895711
28	140	0.029	14331.687562336447
29	145	0.03	14331.687562336447
30	150	0.031	14331.687562336447
31	155	0.031	14283.362416420794
32	160	0.032	14283.362416420794
33	165	0.032	14283.362416420794
34	170	0.033	14278.960047830702
35	175	0.034	14278.960047830702
36	180	0.034	14278.960047830702
37	185	0.035	14278.960047830702
38	190	0.036	14278.960047830702
39	195	0.036	14278.960047830702
40	200	0.037	14267.75252807951
41	205	0.037	14267.75252807951
42	210	0.038	14267.75252807951
43	215	0.038	14203.429053035348
44	220	0.039	14168.418936168933
45	225	0.04	14168.418936168933
46	230	0.04	14168.418936168933
47	235	0.041	14168.418936168933
48	240	0.041	14168.418936168933
49	245	0.042	14168.418936168933
50	250	0.042	14148.562935348082
51	255	0.043	14142.078667793607
52	260	0.044	14133.470091547551
53	265	0.044	14101.163101963311
54	270	0.045	14049.897154785054
55	275	0.045	14049.897154785054
56	280	0.046	14049.897154785054
57	285	0.046	14049.897154785054
58	290	0.047	14046.165051613307
59	295	0.047	13966.782763481371
60	300	0.048	13966.782763481371
61	305	0.048	13958.926152000126
62	310	0.049	13958.926152000126
