iteration	evaluations	runtime[s]	distance[MIN]
1	5	0.003	15295.664846002015
2	10	0.006	15295.664846002015
3	15	0.007	15295.664846002015
4	20	0.008	15124.820368299052
5	25	0.009	15124.820368299052
6	30	0.01	15124.820368299052
7	35	0.011	15124.820368299052
8	40	0.012	15052.653744888134
9	45	0.013	15052.653744888134
10	50	0.014	14973.53503580625
11	55	0.015	14973.53503580625
12	60	0.016	14973.53503580625
13	65	0.017	14866.664454938695
14	70	0.018	14866.664454938695
15	75	0.019	14866.664454938695
16	80	0.02	14866.664454938695
17	85	0.021	14866.664454938695
18	90	0.022	14856.574647352783
19	95	0.023	14856.574647352783
20	100	0.024	14850.788230716425
21	105	0.024	14806.061929746807
22	110	0.025	14806.061929746807
23	115	0.026	14806.061929746807
24	120	0.027	14806.061929746807
25	125	0.027	14755.793390608163
26	130	0.028	14755.793390608163
27	135	0.028	14755.793390608163
28	140	0.029	14755.793390608163
29	145	0.029	14755.793390608163
30	150	0.03	14755.793390608163
31	155	0.03	14755.793390608163
32	160	0.031	14577.022446447969
33	165	0.032	14577.022446447969
34	170	0.032	14577.022446447969
35	175	0.032	14577.022446447969
36	180	0.033	14577.022446447969
37	185	0.034	14577.022446447969
38	190	0.034	14577.022446447969
39	195	0.035	14577.022446447969
40	200	0.035	14577.022446447969
41	205	0.036	14577.022446447969
42	210	0.036	14577.022446447969
43	215	0.037	14577.022446447969
44	220	0.037	14543.254096815566
45	225	0.038	14543.254096815566
46	230	0.038	14522.887504261886
47	235	0.039	14459.130898334384
48	240	0.039	14459.130898334384
49	245	0.04	14456.90745441941
50	250	0.04	14456.90745441941
51	255	0.041	14456.90745441941
52	260	0.041	14456.90745441941
53	265	0.042	14450.512763268283
54	270	0.042	14450.512763268283
55	275	0.043	14450.512763268283
56	280	0.043	14450.512763268283
57	285	0.044	14448.884228905812
58	290	0.044	14448.884228905812
59	295	0.045	14448.884228905812
60	300	0.045	14445.877800604712
61	305	0.046	14445.877800604712
62	310	0.046	14409.995670802053
63	315	0.047	14409.995670802053
64	320	0.047	14345.878383107225
65	325	0.048	14345.878383107225
66	330	0.048	14345.878383107225
67	335	0.049	14345.878383107225
68	340	0.049	14345.878383107225
69	345	0.05	14313.787079080303
70	350	0.05	14269.938490977112
71	355	0.05	14269.938490977112
72	360	0.051	14118.762047322634
73	365	0.051	14118.762047322634
74	370	0.052	14089.940298263564
75	375	0.052	14089.940298263564
76	380	0.053	14089.940298263564
77	385	0.053	14023.137975773649
78	390	0.053	14023.137975773649
79	395	0.054	14023.137975773649
80	400	0.054	14023.137975773649
81	405	0.054	14002.778601419583
82	410	0.055	13992.18370460113
83	415	0.055	13992.18370460113
84	420	0.056	13992.18370460113
85	425	0.056	13992.18370460113
86	430	0.057	13992.18370460113
87	435	0.057	13979.598119580014
88	440	0.058	13967.1527727755
89	445	0.058	13967.1527727755
90	450	0.058	13950.440341237992
91	455	0.058	13941.324331971713
92	460	0.059	13941.324331971713
93	465	0.059	13912.13630132612
94	470	0.06	13912.13630132612
95	475	0.06	13910.127880410944
96	480	0.061	13910.127880410944
97	485	0.061	13905.91356853763
98	490	0.061	13905.91356853763
99	495	0.061	13903.528494567036
100	500	0.062	13903.528494567036
101	505	0.062	13903.528494567036
102	510	0.063	13849.676793137236
103	515	0.063	13834.45862821099
104	520	0.063	13834.45862821099
105	525	0.064	13834.45862821099
106	530	0.064	13765.942898938645
107	535	0.064	13765.942898938645
108	540	0.065	13765.942898938645
109	545	0.065	13765.942898938645
110	550	0.065	13765.942898938645
111	555	0.066	13765.942898938645
112	560	0.066	13765.942898938645
113	565	0.066	13765.942898938645
114	570	0.067	13765.942898938645
115	575	0.067	13765.942898938645
116	580	0.067	13765.942898938645
117	585	0.067	13754.807071556976
118	590	0.068	13754.807071556976
119	595	0.068	13754.807071556976
120	600	0.068	13754.807071556976
121	605	0.068	13754.807071556976
122	610	0.069	13718.906554559164
123	615	0.069	13715.389520154613
124	620	0.069	13715.389520154613
125	625	0.07	13668.011421607342
126	630	0.07	13668.011421607342
127	635	0.07	13668.011421607342
128	640	0.071	13668.011421607342
129	645	0.071	13668.011421607342
130	650	0.072	13668.011421607342
131	655	0.072	13662.601009063585
132	660	0.072	13656.782492980172
133	665	0.072	13656.782492980172
134	670	0.073	13656.782492980172
135	675	0.073	13656.782492980172
136	680	0.073	13656.782492980172
137	685	0.074	13614.873057843663
138	690	0.074	13614.873057843663
139	695	0.074	13614.873057843663
140	700	0.075	13614.873057843663
141	705	0.075	13614.873057843663
142	710	0.075	13614.873057843663
143	715	0.075	13568.428855341674
144	720	0.076	13566.114865877062
145	725	0.076	13566.114865877062
146	730	0.076	13474.423830567941
147	735	0.077	13474.423830567941
148	740	0.077	13474.423830567941
149	745	0.077	13455.626533147466
150	750	0.078	13455.626533147466
151	755	0.078	13455.626533147466
152	760	0.078	13455.626533147466
153	765	0.078	13455.626533147466
154	770	0.078	13455.626533147466
155	775	0.079	13455.626533147466
156	780	0.079	13431.226424012
157	785	0.079	13430.844830353884
158	790	0.08	13399.884096093743
159	795	0.08	13399.884096093743
160	800	0.08	13399.884096093743
161	805	0.081	13399.884096093743
162	810	0.083	13370.12535492933
163	815	0.084	13370.12535492933
164	820	0.084	13370.12535492933
165	825	0.084	13370.12535492933
166	830	0.084	13370.12535492933
167	835	0.085	13370.12535492933
168	840	0.085	13370.12535492933
169	845	0.085	13370.12535492933
170	850	0.086	13370.12535492933
171	855	0.086	13369.126492355015
172	860	0.086	13369.126492355015
173	865	0.086	13364.183968529875
174	870	0.087	13364.183968529875
175	875	0.087	13315.615441258953
176	880	0.087	13315.615441258953
177	885	0.088	13315.615441258953
178	890	0.088	13315.615441258953
179	895	0.088	13315.615441258953
180	900	0.088	13315.615441258953
181	905	0.089	13312.219702823179
182	910	0.089	13312.219702823179
183	915	0.089	13290.893711460465
184	920	0.089	13213.32870910054
185	925	0.09	13213.32870910054
186	930	0.09	13213.32870910054
187	935	0.09	13213.32870910054
188	940	0.091	13213.32870910054
189	945	0.091	13213.32870910054
190	950	0.091	13213.32870910054
191	955	0.091	13204.645132465943
192	960	0.092	13204.645132465943
193	965	0.092	13204.645132465943
194	970	0.092	13204.645132465943
195	975	0.092	13204.645132465943
196	980	0.093	13204.645132465943
197	985	0.093	13204.645132465943
198	990	0.093	13173.991894206272
199	995	0.093	13173.991894206272
200	1000	0.094	13173.991894206272
201	1005	0.094	13173.991894206272
202	1010	0.095	13173.991894206272
203	1015	0.095	13173.991894206272
204	1020	0.095	13173.991894206272
205	1025	0.096	13173.991894206272
206	1030	0.096	13173.991894206272
207	1035	0.096	13173.991894206272
208	1040	0.097	13173.991894206272
209	1045	0.097	13058.179832867592
210	1050	0.098	13058.179832867592
211	1055	0.098	13058.179832867592
212	1060	0.098	13058.179832867592
213	1065	0.099	13058.179832867592
214	1070	0.099	13058.179832867592
215	1075	0.099	13058.179832867592
216	1080	0.1	13058.179832867592
217	1085	0.1	13058.179832867592
218	1090	0.101	13058.179832867592
