iteration	evaluations	runtime[s]	distance[MIN]
1	5	0.003	15185.849480165067
2	10	0.006	15185.849480165067
3	15	0.007	15185.849480165067
4	20	0.009	15179.546869130894
5	25	0.01	15179.546869130894
6	30	0.011	15179.546869130894
7	35	0.011	15179.546869130894
8	40	0.012	15165.68601929814
9	45	0.013	15148.154566841169
10	50	0.014	15148.154566841169
11	55	0.015	15100.572980359595
12	60	0.016	15087.640821608691
13	65	0.017	15087.640821608691
14	70	0.018	15087.640821608691
15	75	0.019	15087.640821608691
16	80	0.02	15087.640821608691
17	85	0.021	15036.286149698344
18	90	0.022	15009.2619197568
19	95	0.023	15009.2619197568
20	100	0.024	14948.168478405169
21	105	0.025	14948.168478405169
22	110	0.026	14948.168478405169
23	115	0.026	14940.173987151598
24	120	0.027	14933.248930200009
25	125	0.028	14933.248930200009
26	130	0.028	14933.248930200009
27	135	0.029	14860.333645898922
28	140	0.029	14860.333645898922
29	145	0.03	14806.158581710459
30	150	0.03	14806.158581710459
31	155	0.031	14806.158581710459
32	160	0.032	14806.158581710459
33	165	0.032	14806.158581710459
34	170	0.033	14801.75773762834
35	175	0.033	14801.75773762834
36	180	0.034	14773.370626354663
37	185	0.034	14724.344515748688
38	190	0.035	14724.344515748688
39	195	0.035	14662.779334982992
40	200	0.036	14662.779334982992
41	205	0.036	14662.779334982992
42	210	0.037	14662.779334982992
43	215	0.037	14662.779334982992
44	220	0.038	14662.779334982992
45	225	0.039	14662.779334982992
46	230	0.039	14662.779334982992
47	235	0.04	14662.779334982992
48	240	0.04	14648.276977320742
49	245	0.041	14648.276977320742
50	250	0.041	14648.276977320742
51	255	0.042	14648.276977320742
52	260	0.042	14648.276977320742
53	265	0.043	14603.34234361241
54	270	0.043	14603.34234361241
55	275	0.044	14603.34234361241
56	280	0.044	14569.60929160522
57	285	0.045	14423.020889826943
58	290	0.045	14423.020889826943
59	295	0.045	14423.020889826943
60	300	0.046	14387.4425771181
61	305	0.046	14387.4425771181
62	310	0.047	14342.484656317538
63	315	0.047	14342.484656317538
64	320	0.048	14342.484656317538
65	325	0.048	14342.484656317538
66	330	0.048	14342.484656317538
67	335	0.049	14331.815825845371
68	340	0.049	14204.869181081302
69	345	0.05	14204.869181081302
70	350	0.051	14204.869181081302
71	355	0.051	14204.869181081302
72	360	0.051	14163.406424609082
73	365	0.052	14163.406424609082
74	370	0.052	14157.37373639699
75	375	0.053	14157.37373639699
76	380	0.053	14157.37373639699
77	385	0.054	14157.37373639699
78	390	0.054	14109.166804145443
79	395	0.055	14109.166804145443
80	400	0.055	14099.56799237575
81	405	0.056	14076.640815378132
82	410	0.056	14023.216713627
83	415	0.056	14023.216713627
84	420	0.057	14023.216713627
85	425	0.057	14023.216713627
86	430	0.058	14023.216713627
87	435	0.058	13981.268205879207
88	440	0.059	13912.276890062514
89	445	0.059	13912.276890062514
90	450	0.06	13912.276890062514
91	455	0.06	13912.276890062514
92	460	0.06	13894.650089721172
93	465	0.061	13894.650089721172
94	470	0.061	13827.400098215883
95	475	0.061	13827.400098215883
96	480	0.062	13825.459444161042
97	485	0.062	13760.383008705425
98	490	0.062	13760.383008705425
99	495	0.063	13760.383008705425
100	500	0.063	13719.380177481939
101	505	0.063	13719.380177481939
102	510	0.063	13719.380177481939
103	515	0.064	13671.831851607843
104	520	0.064	13671.831851607843
105	525	0.064	13671.831851607843
106	530	0.065	13671.831851607843
107	535	0.065	13671.831851607843
108	540	0.065	13671.831851607843
109	545	0.066	13671.831851607843
110	550	0.066	13671.831851607843
111	555	0.066	13671.831851607843
112	560	0.067	13671.831851607843
113	565	0.067	13671.831851607843
114	570	0.067	13671.831851607843
115	575	0.068	13671.831851607843
116	580	0.068	13671.831851607843
117	585	0.068	13671.831851607843
118	590	0.069	13656.974309701014
119	595	0.069	13656.974309701014
120	600	0.069	13656.974309701014
121	605	0.069	13656.974309701014
122	610	0.07	13656.974309701014
123	615	0.07	13596.658483825418
124	620	0.071	13596.658483825418
125	625	0.071	13596.658483825418
126	630	0.071	13596.658483825418
127	635	0.071	13596.658483825418
128	640	0.072	13596.658483825418
129	645	0.072	13583.133740792126
130	650	0.072	13582.624685412271
131	655	0.073	13557.232655350577
132	660	0.073	13557.232655350577
133	665	0.073	13557.232655350577
134	670	0.074	13531.175117020064
135	675	0.074	13511.289976895494
136	680	0.074	13511.289976895494
137	685	0.075	13511.289976895494
138	690	0.075	13511.289976895494
139	695	0.075	13471.920637365616
140	700	0.076	13471.920637365616
141	705	0.076	13468.59763754699
142	710	0.076	13464.171600327727
143	715	0.077	13464.171600327727
144	720	0.077	13464.171600327727
145	725	0.077	13360.387692249145
146	730	0.077	13360.387692249145
147	735	0.078	13360.387692249145
148	740	0.078	13360.387692249145
149	745	0.078	13360.387692249145
150	750	0.078	13360.387692249145
151	755	0.079	13360.387692249145
152	760	0.079	13360.387692249145
153	765	0.079	13354.188629005695
154	770	0.08	13354.188629005695
155	775	0.08	13329.636989286671
156	780	0.08	13329.636989286671
157	785	0.08	13329.636989286671
158	790	0.081	13329.636989286671
159	795	0.081	13329.636989286671
160	800	0.081	13306.168020924988
161	805	0.081	13306.168020924988
162	810	0.084	13283.409399890366
163	815	0.084	13275.197958540883
164	820	0.085	13275.197958540883
165	825	0.085	13234.197420050361
166	830	0.085	13234.197420050361
167	835	0.086	13226.534187009423
168	840	0.086	13226.534187009423
169	845	0.086	13206.276676554955
170	850	0.086	13206.276676554955
171	855	0.087	13206.276676554955
172	860	0.087	13206.276676554955
173	865	0.087	13206.276676554955
174	870	0.088	13206.276676554955
175	875	0.088	13206.276676554955
176	880	0.088	13165.145098017876
177	885	0.088	13130.770204943385
178	890	0.089	13130.770204943385
179	895	0.089	13130.770204943385
180	900	0.089	13130.770204943385
181	905	0.089	13130.770204943385
182	910	0.09	13130.770204943385
183	915	0.09	13130.770204943385
184	920	0.09	13130.770204943385
185	925	0.091	13130.770204943385
186	930	0.091	13130.770204943385
187	935	0.091	13130.770204943385
188	940	0.092	13130.770204943385
189	945	0.092	13130.770204943385
190	950	0.092	13057.712223381623
191	955	0.092	13057.712223381623
192	960	0.093	13057.712223381623
193	965	0.093	13057.712223381623
194	970	0.093	13057.712223381623
195	975	0.094	13057.712223381623
196	980	0.094	13057.712223381623
197	985	0.095	13057.712223381623
198	990	0.095	13057.712223381623
199	995	0.095	13052.64825014067
200	1000	0.096	13052.64825014067
201	1005	0.096	12965.640552985884
202	1010	0.096	12965.640552985884
203	1015	0.096	12965.640552985884
204	1020	0.097	12877.106276520728
205	1025	0.097	12877.106276520728
206	1030	0.097	12877.106276520728
207	1035	0.098	12877.106276520728
208	1040	0.098	12877.106276520728
209	1045	0.098	12846.495906884982
210	1050	0.098	12846.495906884982
211	1055	0.099	12835.522194259705
212	1060	0.099	12811.612754004498
213	1065	0.099	12794.755546756114
214	1070	0.1	12790.105168285874
215	1075	0.1	12790.105168285874
216	1080	0.1	12679.428367120669
217	1085	0.1	12679.428367120669
218	1090	0.101	12679.428367120669
219	1095	0.101	12679.428367120669
220	1100	0.101	12662.342036550848
221	1105	0.101	12662.342036550848
222	1110	0.102	12630.819510105204
223	1115	0.102	12630.819510105204
224	1120	0.102	12540.492298755506
225	1125	0.103	12540.492298755506
226	1130	0.103	12540.492298755506
227	1135	0.103	12500.965984942186
228	1140	0.104	12500.965984942186
229	1145	0.104	12500.965984942186
230	1150	0.104	12498.708217411177
231	1155	0.104	12492.19180728229
232	1160	0.105	12492.19180728229
233	1165	0.105	12492.19180728229
234	1170	0.105	12492.19180728229
235	1175	0.105	12390.718665467195
236	1180	0.106	12390.718665467195
237	1185	0.106	12390.718665467195
238	1190	0.107	12390.718665467195
239	1195	0.107	12377.998245945857
240	1200	0.107	12377.998245945857
241	1205	0.107	12377.998245945857
242	1210	0.108	12377.998245945857
243	1215	0.108	12377.998245945857
244	1220	0.108	12377.998245945857
245	1225	0.108	12357.559588299455
246	1230	0.109	12357.559588299455
247	1235	0.109	12357.559588299455
248	1240	0.109	12357.559588299455
249	1245	0.11	12344.749144809162
250	1250	0.11	12344.749144809162
251	1255	0.111	12312.098064934615
252	1260	0.111	12312.098064934615
253	1265	0.112	12312.098064934615
254	1270	0.112	12250.504694586149
255	1275	0.113	12250.504694586149
256	1280	0.113	12245.997845881013
257	1285	0.114	12145.29664967019
258	1290	0.115	12145.29664967019
259	1295	0.115	12145.29664967019
260	1300	0.116	12145.29664967019
261	1305	0.117	12145.29664967019
262	1310	0.117	12145.29664967019
263	1315	0.118	12145.29664967019
264	1320	0.118	12127.275448235749
265	1325	0.118	12127.275448235749
266	1330	0.119	12127.275448235749
267	1335	0.119	12127.275448235749
268	1340	0.12	12127.275448235749
269	1345	0.12	12127.275448235749
270	1350	0.12	12127.275448235749
271	1355	0.121	12127.275448235749
272	1360	0.121	12127.275448235749
273	1365	0.121	12127.275448235749
274	1370	0.122	12127.275448235749
275	1375	0.122	12095.52293628038
276	1380	0.122	12065.650640077187
277	1385	0.122	12065.650640077187
278	1390	0.122	12065.650640077187
279	1395	0.123	12065.650640077187
280	1400	0.123	12065.650640077187
281	1405	0.123	12064.647740355813
282	1410	0.123	12064.647740355813
283	1415	0.124	12064.561907527223
284	1420	0.124	12064.561907527223
285	1425	0.124	12064.561907527223
286	1430	0.124	12057.363312296857
287	1435	0.125	12057.363312296857
288	1440	0.125	12043.864635375085
289	1445	0.125	11964.544608872424
290	1450	0.126	11964.544608872424
291	1455	0.126	11964.544608872424
292	1460	0.126	11934.381580760815
293	1465	0.126	11934.381580760815
294	1470	0.127	11934.381580760815
295	1475	0.127	11934.381580760815
296	1480	0.127	11934.381580760815
297	1485	0.127	11934.381580760815
298	1490	0.127	11934.381580760815
299	1495	0.128	11934.381580760815
300	1500	0.128	11934.381580760815
301	1505	0.128	11934.381580760815
302	1510	0.128	11934.381580760815
303	1515	0.129	11934.381580760815
304	1520	0.129	11790.014308783237
305	1525	0.129	11790.014308783237
306	1530	0.129	11790.014308783237
307	1535	0.13	11790.014308783237
308	1540	0.13	11790.014308783237
309	1545	0.13	11755.399712302209
310	1550	0.13	11755.399712302209
311	1555	0.131	11755.399712302209
312	1560	0.131	11755.399712302209
313	1565	0.131	11755.399712302209
314	1570	0.131	11755.399712302209
315	1575	0.131	11755.399712302209
316	1580	0.131	11755.399712302209
317	1585	0.132	11755.399712302209
318	1590	0.132	11755.399712302209
319	1595	0.132	11717.306630620158
320	1600	0.133	11717.306630620158
321	1605	0.133	11717.306630620158
322	1610	0.133	11717.306630620158
323	1615	0.134	11713.43868211755
324	1620	0.134	11713.43868211755
325	1625	0.135	11713.43868211755
326	1630	0.135	11713.43868211755
327	1635	0.136	11685.080841240722
328	1640	0.136	11685.080841240722
329	1645	0.136	11685.080841240722
330	1650	0.136	11685.080841240722
331	1655	0.137	11685.080841240722
332	1660	0.137	11685.080841240722
333	1665	0.137	11685.080841240722
334	1670	0.137	11678.216467704411
335	1675	0.138	11678.216467704411
336	1680	0.138	11678.216467704411
337	1685	0.138	11675.17590358576
338	1690	0.138	11661.332889065186
339	1695	0.139	11605.962609883574
340	1700	0.139	11605.962609883574
341	1705	0.139	11605.962609883574
342	1710	0.14	11605.962609883574
343	1715	0.14	11584.895442640398
344	1720	0.14	11584.895442640398
345	1725	0.141	11584.895442640398
346	1730	0.141	11558.614245076278
347	1735	0.141	11558.614245076278
348	1740	0.141	11558.614245076278
349	1745	0.142	11558.614245076278
350	1750	0.142	11480.43602790186
351	1755	0.142	11480.43602790186
352	1760	0.142	11480.43602790186
353	1765	0.143	11480.43602790186
354	1770	0.143	11480.43602790186
355	1775	0.143	11480.43602790186
356	1780	0.144	11480.43602790186
357	1785	0.144	11478.729983752943
358	1790	0.144	11478.729983752943
359	1795	0.144	11478.729983752943
360	1800	0.144	11478.729983752943
361	1805	0.145	11478.729983752943
362	1810	0.145	11478.729983752943
363	1815	0.145	11478.729983752943
364	1820	0.146	11478.729983752943
365	1825	0.146	11478.729983752943
366	1830	0.146	11478.729983752943
367	1835	0.146	11478.729983752943
368	1840	0.146	11478.729983752943
369	1845	0.146	11461.41498160268
370	1850	0.147	11397.477236730487
371	1855	0.147	11397.477236730487
372	1860	0.147	11359.049323693314
373	1865	0.147	11359.049323693314
374	1870	0.148	11359.049323693314
375	1875	0.148	11318.24528849967
376	1880	0.148	11318.24528849967
377	1885	0.149	11318.24528849967
378	1890	0.149	11318.24528849967
379	1895	0.149	11318.24528849967
380	1900	0.149	11260.344930900521
381	1905	0.15	11260.344930900521
382	1910	0.15	11260.344930900521
383	1915	0.15	11260.344930900521
384	1920	0.15	11260.344930900521
