iteration	evaluations	runtime[s]	distance[MIN]
1	137	0.02	14880.817091081557
2	274	0.034	14880.817091081557
3	411	0.046	14855.789281916743
4	548	0.054	14676.826296053678
5	685	0.062	14543.578448534701
6	822	0.069	14514.986623727402
7	959	0.075	14308.775423527828
8	1096	0.081	14171.60934748569
9	1233	0.087	14171.60934748569
10	1370	0.093	14171.60934748569
11	1507	0.1	14171.60934748569
12	1644	0.105	14057.890853254474
13	1781	0.112	13902.243155818158
14	1918	0.118	13822.743910979529
15	2055	0.124	13822.743910979529
16	2192	0.13	13822.743910979529
17	2329	0.135	13770.055408921366
18	2466	0.141	13745.760734268759
19	2603	0.147	13529.522168078342
20	2740	0.159	13529.522168078342
21	2877	0.165	13412.385160077998
22	3014	0.17	13412.385160077998
23	3151	0.176	13372.783324304111
24	3288	0.182	13318.323693563425
25	3425	0.187	13318.323693563425
26	3562	0.193	13302.523764954762
27	3699	0.198	13120.682890597569
28	3836	0.204	13005.411400742809
29	3973	0.207	12978.692892189709
30	4110	0.211	12978.692892189709
31	4247	0.215	12932.110672904864
32	4384	0.219	12903.284423256311
33	4521	0.223	12775.5840650479
34	4658	0.227	12775.5840650479
35	4795	0.231	12727.295881867698
36	4932	0.234	12727.295881867698
37	5069	0.238	12698.00172016564
38	5206	0.242	12694.60114527932
39	5343	0.246	12619.536467689784
40	5480	0.25	12619.536467689784
41	5617	0.254	12619.536467689784
42	5754	0.258	12534.533771513003
43	5891	0.262	12534.533771513003
44	6028	0.265	12513.139911834327
45	6165	0.269	12430.499106470703
46	6302	0.273	12430.499106470703
47	6439	0.277	12380.272389056452
48	6576	0.281	12295.048867372694
49	6713	0.285	12295.048867372694
50	6850	0.29	12285.816725573366
51	6987	0.293	12285.816725573366
52	7124	0.297	12228.068428439914
53	7261	0.301	12185.628387141613
54	7398	0.306	12132.906497029979
55	7535	0.314	12118.177772048906
56	7672	0.318	12098.042013710807
57	7809	0.322	12082.050175619994
58	7946	0.326	12034.203288868983
59	8083	0.33	11996.882473660373
60	8220	0.334	11996.393295454238
61	8357	0.338	11982.40120614382
62	8494	0.342	11929.760487075837
63	8631	0.345	11929.760487075837
64	8768	0.349	11910.685019025448
65	8905	0.353	11903.11008346319
66	9042	0.356	11856.08130771106
67	9179	0.36	11852.27284843295
68	9316	0.364	11759.347371001179
69	9453	0.367	11759.347371001179
70	9590	0.371	11743.093195215233
71	9727	0.375	11693.639135069074
72	9864	0.379	11685.214540424455
73	10001	0.383	11653.08486409653
74	10138	0.387	11603.184792860327
75	10275	0.391	11532.67214300629
76	10412	0.395	11459.808096518174
77	10549	0.398	11459.808096518174
78	10686	0.402	11402.17235269062
79	10823	0.406	11402.17235269062
80	10960	0.41	11402.17235269062
81	11097	0.414	11375.740186006
82	11234	0.418	11332.599076015991
83	11371	0.422	11332.599076015991
84	11508	0.425	11243.248302557166
85	11645	0.429	11241.2059334424
86	11782	0.433	11241.2059334424
87	11919	0.437	11241.2059334424
88	12056	0.441	11199.459669950429
89	12193	0.445	11199.459669950429
90	12330	0.452	11199.459669950429
91	12467	0.455	11173.840820623196
92	12604	0.459	11048.52950564083
93	12741	0.463	11048.52950564083
94	12878	0.467	11048.52950564083
95	13015	0.471	11048.52950564083
96	13152	0.474	11023.360318247303
97	13289	0.478	11023.360318247303
98	13426	0.482	11004.347966732688
99	13563	0.486	11004.347966732688
100	13700	0.49	10935.765735320323
101	13837	0.493	10896.858130547558
102	13974	0.497	10803.048883712372
103	14111	0.501	10803.048883712372
104	14248	0.505	10788.657223585506
105	14385	0.508	10788.657223585506
106	14522	0.512	10788.657223585506
107	14659	0.516	10780.732964463767
108	14796	0.519	10737.153539827508
109	14933	0.523	10737.153539827508
110	15070	0.527	10728.782574078745
111	15207	0.53	10646.785679290975
112	15344	0.534	10646.785679290975
113	15481	0.537	10646.785679290975
114	15618	0.541	10553.959214160035
115	15755	0.544	10553.959214160035
116	15892	0.548	10537.740067095061
117	16029	0.551	10537.740067095061
118	16166	0.555	10531.966432210007
119	16303	0.558	10477.792795263878
120	16440	0.562	10477.792795263878
121	16577	0.565	10441.21121374278
122	16714	0.569	10420.604058280573
123	16851	0.572	10416.524373278713
124	16988	0.576	10416.524373278713
125	17125	0.579	10416.524373278713
126	17262	0.588	10414.672696214806
127	17399	0.591	10381.044793280129
128	17536	0.595	10310.095592465143
129	17673	0.598	10310.095592465143
130	17810	0.602	10273.332911734584
131	17947	0.605	10273.332911734584
132	18084	0.609	10273.332911734584
133	18221	0.612	10273.332911734584
134	18358	0.615	10264.52558520642
135	18495	0.619	10206.230250679344
136	18632	0.622	10206.230250679344
137	18769	0.625	10192.264605629962
138	18906	0.629	10174.061048825137
139	19043	0.633	10174.061048825137
140	19180	0.636	10143.964741767599
141	19317	0.639	10143.964741767599
142	19454	0.643	10118.465293803063
143	19591	0.646	10118.465293803063
144	19728	0.65	10078.966872887015
145	19865	0.654	10078.966872887015
146	20002	0.657	10078.966872887015
147	20139	0.661	10045.168796653623
148	20276	0.664	10037.561246106992
149	20413	0.668	10028.125470625691
150	20550	0.671	10017.374811338519
151	20687	0.674	10003.785121029558
152	20824	0.678	9952.71842135283
153	20961	0.681	9952.71842135283
154	21098	0.685	9952.71842135283
155	21235	0.688	9952.71842135283
156	21372	0.691	9952.71842135283
157	21509	0.695	9928.304117019321
158	21646	0.698	9928.304117019321
159	21783	0.702	9896.885667151277
160	21920	0.705	9843.146416008427
161	22057	0.708	9843.146416008427
162	22194	0.713	9843.146416008427
163	22331	0.717	9843.146416008427
164	22468	0.72	9843.146416008427
165	22605	0.724	9843.146416008427
166	22742	0.727	9824.561428376312
167	22879	0.731	9804.21126116835
168	23016	0.735	9769.180930424813
169	23153	0.738	9769.180930424813
170	23290	0.742	9769.180930424813
