iteration	evaluations	runtime[s]	distance[MIN]
1	137	0.02	14636.620147541325
2	274	0.036	14636.620147541325
3	411	0.052	14636.620147541325
4	548	0.059	14636.620147541325
5	685	0.067	14341.173498394082
6	822	0.074	14341.173498394082
7	959	0.08	14341.173498394082
8	1096	0.086	14202.501754553363
9	1233	0.093	14180.686922027433
10	1370	0.101	14100.862500107216
11	1507	0.107	14010.135493204336
12	1644	0.113	13757.3031132073
13	1781	0.119	13757.3031132073
14	1918	0.125	13757.3031132073
15	2055	0.131	13718.18415085387
16	2192	0.137	13669.19552565488
17	2329	0.143	13669.19552565488
18	2466	0.149	13591.644939389605
19	2603	0.153	13591.644939389605
20	2740	0.164	13537.061646878443
21	2877	0.169	13501.381785895666
22	3014	0.174	13432.796998866283
23	3151	0.179	13334.796490484361
24	3288	0.184	13334.796490484361
25	3425	0.189	13317.01184910112
26	3562	0.193	13312.2758696846
27	3699	0.198	13211.19277686625
28	3836	0.202	13163.11959369396
29	3973	0.206	13158.878781534642
30	4110	0.21	13120.910920455113
31	4247	0.214	13120.910920455113
32	4384	0.218	13120.910920455113
33	4521	0.222	13036.747366391386
34	4658	0.226	13036.747366391386
35	4795	0.23	12980.59443187785
36	4932	0.234	12963.58549681264
37	5069	0.238	12794.839010004673
38	5206	0.242	12794.839010004673
39	5343	0.246	12794.839010004673
40	5480	0.25	12709.729015450781
41	5617	0.254	12607.086409172765
42	5754	0.258	12607.086409172765
43	5891	0.262	12542.577295467136
44	6028	0.266	12487.312912399684
45	6165	0.27	12487.312912399684
46	6302	0.274	12487.312912399684
47	6439	0.278	12449.77860136503
48	6576	0.282	12392.170443391005
49	6713	0.286	12329.467724935937
50	6850	0.291	12329.467724935937
51	6987	0.295	12324.71665891672
52	7124	0.3	12321.77934357466
53	7261	0.304	12158.49425329717
54	7398	0.308	12158.49425329717
55	7535	0.318	12158.49425329717
56	7672	0.323	12138.195478817866
57	7809	0.328	12138.195478817866
58	7946	0.332	12072.196719546622
59	8083	0.336	12072.196719546622
60	8220	0.341	12072.196719546622
61	8357	0.345	12002.58357389302
62	8494	0.349	12002.58357389302
63	8631	0.354	11880.012073353153
64	8768	0.359	11880.012073353153
65	8905	0.363	11880.012073353153
66	9042	0.368	11880.012073353153
67	9179	0.372	11792.55688655203
68	9316	0.376	11788.36138464333
69	9453	0.38	11769.109215888713
70	9590	0.385	11747.479611088984
71	9727	0.389	11740.819337249186
72	9864	0.393	11724.03490149388
73	10001	0.397	11643.529075767829
74	10138	0.402	11642.560869537148
75	10275	0.406	11575.101908072082
76	10412	0.41	11521.86109994204
77	10549	0.414	11521.86109994204
78	10686	0.419	11521.86109994204
79	10823	0.423	11475.426135471685
80	10960	0.427	11475.426135471685
81	11097	0.431	11475.320698938896
82	11234	0.435	11430.461227361928
83	11371	0.439	11412.137725717104
84	11508	0.443	11401.262037713688
85	11645	0.448	11374.876306073345
86	11782	0.452	11311.316392802264
87	11919	0.457	11270.636328370465
88	12056	0.461	11270.636328370465
89	12193	0.465	11248.108913184795
90	12330	0.472	11195.003422573882
91	12467	0.476	11195.003422573882
92	12604	0.481	11118.798861974687
93	12741	0.485	11118.798861974687
94	12878	0.489	11095.031224344073
95	13015	0.493	11065.654770782172
96	13152	0.497	11065.654770782172
97	13289	0.501	11065.654770782172
98	13426	0.504	11056.66107454687
99	13563	0.509	10985.154239210706
100	13700	0.512	10928.162061725116
101	13837	0.516	10887.940506470186
102	13974	0.521	10887.940506470186
103	14111	0.525	10887.940506470186
104	14248	0.529	10870.549668044681
105	14385	0.534	10870.549668044681
106	14522	0.539	10870.549668044681
107	14659	0.543	10870.549668044681
108	14796	0.546	10779.042248245038
109	14933	0.551	10736.228987397048
110	15070	0.554	10736.228987397048
111	15207	0.558	10680.432642022628
112	15344	0.562	10680.432642022628
113	15481	0.566	10680.432642022628
114	15618	0.57	10668.542850207055
115	15755	0.573	10668.542850207055
116	15892	0.577	10668.542850207055
117	16029	0.581	10652.418528925704
118	16166	0.585	10636.675109084059
119	16303	0.589	10586.416802899737
120	16440	0.593	10586.416802899737
121	16577	0.596	10560.225015677408
122	16714	0.6	10535.628808202662
123	16851	0.604	10535.628808202662
124	16988	0.608	10527.52842696408
125	17125	0.611	10421.327002817277
126	17262	0.619	10421.327002817277
127	17399	0.623	10421.327002817277
128	17536	0.626	10421.327002817277
129	17673	0.63	10345.325069196037
130	17810	0.633	10332.115578655596
131	17947	0.637	10332.115578655596
132	18084	0.641	10310.564287420153
133	18221	0.645	10285.016091834414
134	18358	0.649	10249.513875925257
135	18495	0.652	10234.033429585163
136	18632	0.656	10234.033429585163
137	18769	0.659	10191.872540805043
138	18906	0.663	10191.872540805043
139	19043	0.667	10191.872540805043
140	19180	0.671	10191.872540805043
141	19317	0.675	10137.3113042462
142	19454	0.679	10137.3113042462
143	19591	0.683	10137.3113042462
144	19728	0.687	10085.673156550403
145	19865	0.691	10076.194553735619
146	20002	0.695	10035.475615670464
147	20139	0.699	10035.475615670464
148	20276	0.703	10035.475615670464
149	20413	0.706	10035.475615670464
150	20550	0.71	10022.159561937928
151	20687	0.714	10015.409592466951
152	20824	0.718	10006.144721738132
153	20961	0.722	9951.470571935402
154	21098	0.725	9951.470571935402
155	21235	0.729	9905.041373081684
156	21372	0.733	9898.751332621052
157	21509	0.737	9885.075184010391
158	21646	0.74	9885.075184010391
159	21783	0.744	9844.825136146419
160	21920	0.748	9844.825136146419
161	22057	0.752	9844.825136146419
162	22194	0.757	9821.483475416058
163	22331	0.761	9791.149432770637
164	22468	0.765	9791.149432770637
165	22605	0.769	9791.149432770637
166	22742	0.773	9780.381517226564
167	22879	0.776	9780.381517226564
168	23016	0.78	9775.92634654395
169	23153	0.784	9715.710109608686
170	23290	0.788	9711.051383792801
171	23427	0.791	9711.051383792801
172	23564	0.795	9711.051383792801
173	23701	0.799	9680.748915491897
174	23838	0.803	9680.748915491897
175	23975	0.807	9680.748915491897
176	24112	0.81	9680.748915491897
177	24249	0.814	9662.701828930012
178	24386	0.818	9662.701828930012
179	24523	0.822	9662.701828930012
180	24660	0.826	9662.701828930012
181	24797	0.829	9657.36968119309
182	24934	0.834	9601.251546160755
183	25071	0.837	9601.251546160755
184	25208	0.841	9588.62026795489
185	25345	0.844	9588.62026795489
186	25482	0.848	9588.62026795489
187	25619	0.852	9588.62026795489
188	25756	0.856	9588.62026795489
189	25893	0.859	9571.767805300431
190	26030	0.863	9542.984430136716
191	26167	0.868	9499.133438521301
192	26304	0.871	9499.133438521301
193	26441	0.875	9492.854270322427
194	26578	0.879	9492.854270322427
195	26715	0.883	9492.799881684467
196	26852	0.887	9471.625346118972
197	26989	0.891	9471.625346118972
198	27126	0.9	9459.883208708272
199	27263	0.905	9434.656810721108
200	27400	0.909	9434.656810721108
201	27537	0.913	9434.656810721108
202	27674	0.918	9411.445606309106
203	27811	0.923	9411.445606309106
204	27948	0.927	9411.445606309106
205	28085	0.931	9376.646707049407
206	28222	0.935	9376.646707049407
207	28359	0.938	9362.696603659288
208	28496	0.942	9362.696603659288
209	28633	0.946	9353.959935062692
210	28770	0.95	9321.968672096718
211	28907	0.954	9308.018568706599
212	29044	0.958	9308.018568706599
213	29181	0.962	9262.21371246555
214	29318	0.966	9262.21371246555
215	29455	0.97	9262.21371246555
216	29592	0.973	9262.21371246555
217	29729	0.977	9261.69454279539
218	29866	0.981	9261.69454279539
219	30003	0.986	9261.69454279539
220	30140	0.99	9261.69454279539
221	30277	0.993	9245.332656939843
222	30414	0.997	9245.332656939843
223	30551	1.002	9229.84616572664
224	30688	1.005	9229.84616572664
225	30825	1.009	9229.84616572664
226	30962	1.013	9145.969168190106
227	31099	1.017	9145.969168190106
228	31236	1.022	9145.969168190106
229	31373	1.025	9145.969168190106
230	31510	1.029	9145.969168190106
231	31647	1.033	9145.969168190106
232	31784	1.038	9097.170457081043
233	31921	1.042	9097.170457081043
234	32058	1.046	9097.170457081043
235	32195	1.05	9097.170457081043
236	32332	1.053	9042.124195439457
237	32469	1.057	9042.124195439457
238	32606	1.06	9042.124195439457
239	32743	1.064	9042.124195439457
240	32880	1.068	9029.736540637967
241	33017	1.071	9029.736540637967
242	33154	1.075	8997.636248358343
243	33291	1.079	8997.636248358343
244	33428	1.083	8997.636248358343
245	33565	1.087	8975.037356311232
246	33702	1.09	8975.037356311232
247	33839	1.094	8965.713587090564
248	33976	1.098	8965.713587090564
249	34113	1.102	8954.465103244933
250	34250	1.105	8906.164478097746
251	34387	1.109	8906.164478097746
252	34524	1.113	8879.408043915491
253	34661	1.117	8879.408043915491
254	34798	1.122	8879.408043915491
255	34935	1.126	8879.408043915491
256	35072	1.13	8879.408043915491
257	35209	1.135	8879.408043915491
258	35346	1.139	8857.336225309176
259	35483	1.143	8857.336225309176
260	35620	1.146	8844.542153467251
261	35757	1.15	8811.654733533947
262	35894	1.154	8811.654733533947
263	36031	1.157	8811.654733533947
264	36168	1.161	8810.6376879828
265	36305	1.164	8810.6376879828
266	36442	1.168	8810.6376879828
267	36579	1.172	8802.980215516813
268	36716	1.175	8792.575475732334
269	36853	1.179	8770.329678849432
270	36990	1.187	8770.329678849432
271	37127	1.191	8770.329678849432
272	37264	1.196	8764.956196207571
273	37401	1.2	8756.107522936987
274	37538	1.204	8756.107522936987
275	37675	1.207	8735.81068109845
276	37812	1.211	8720.462344181875
277	37949	1.215	8663.613185655302
278	38086	1.219	8663.613185655302
279	38223	1.223	8663.613185655302
280	38360	1.227	8663.38613865356
281	38497	1.231	8663.38613865356
282	38634	1.235	8663.38613865356
283	38771	1.239	8663.38613865356
284	38908	1.243	8663.38613865356
285	39045	1.247	8648.761151543815
286	39182	1.251	8639.622401082817
287	39319	1.255	8624.305665768645
288	39456	1.258	8624.305665768645
289	39593	1.262	8608.998399897115
290	39730	1.266	8585.561025435518
291	39867	1.27	8559.443936371848
292	40004	1.274	8559.443936371848
293	40141	1.278	8559.443936371848
294	40278	1.281	8559.443936371848
295	40415	1.285	8543.601786101668
296	40552	1.289	8522.566915301877
297	40689	1.292	8498.070402713163
298	40826	1.296	8498.070402713163
299	40963	1.3	8498.070402713163
300	41100	1.304	8498.070402713163
301	41237	1.308	8483.833107004877
302	41374	1.311	8425.41159656693
303	41511	1.315	8425.41159656693
304	41648	1.319	8425.41159656693
305	41785	1.323	8379.562044335118
306	41922	1.327	8379.562044335118
307	42059	1.33	8379.562044335118
308	42196	1.334	8379.562044335118
309	42333	1.338	8379.562044335118
310	42470	1.342	8379.562044335118
311	42607	1.346	8363.338812201668
312	42744	1.349	8363.338812201668
313	42881	1.353	8363.338812201668
314	43018	1.356	8333.470991467837
315	43155	1.36	8333.470991467837
316	43292	1.364	8333.470991467837
317	43429	1.368	8333.470991467837
318	43566	1.372	8331.705809949228
319	43703	1.375	8331.705809949228
320	43840	1.379	8302.67640701986
321	43977	1.383	8302.67640701986
322	44114	1.387	8302.67640701986
323	44251	1.391	8302.67640701986
324	44388	1.394	8291.319158389328
325	44525	1.398	8291.319158389328
326	44662	1.402	8291.319158389328
327	44799	1.405	8288.032274133118
328	44936	1.409	8267.895503488337
329	45073	1.413	8267.895503488337
330	45210	1.416	8267.895503488337
331	45347	1.42	8217.494327486243
332	45484	1.424	8217.494327486243
333	45621	1.428	8217.494327486243
334	45758	1.431	8217.494327486243
335	45895	1.435	8217.494327486243
336	46032	1.44	8217.494327486243
337	46169	1.443	8217.494327486243
338	46306	1.447	8199.934383348007
339	46443	1.452	8179.929896427244
340	46580	1.455	8179.929896427244
341	46717	1.459	8179.929896427244
342	46854	1.463	8179.929896427244
343	46991	1.467	8179.929896427244
344	47128	1.47	8179.929896427244
345	47265	1.474	8174.331316179592
346	47402	1.478	8174.331316179592
347	47539	1.482	8162.3335863553975
348	47676	1.486	8162.3335863553975
349	47813	1.49	8148.249562304568
350	47950	1.493	8141.334413671101
351	48087	1.497	8141.334413671101
352	48224	1.501	8141.334413671101
353	48361	1.504	8123.772066817604
354	48498	1.508	8123.772066817604
355	48635	1.512	8123.738103599255
356	48772	1.516	8123.526785583566
357	48909	1.52	8119.439489977494
358	49046	1.524	8085.847581852789
359	49183	1.527	8085.847581852789
360	49320	1.532	8068.4573597488825
361	49457	1.536	8068.4573597488825
362	49594	1.539	8068.4573597488825
363	49731	1.543	8052.610906207281
364	49868	1.547	8052.610906207281
365	50005	1.551	8051.201974978226
366	50142	1.555	8042.529380175905
367	50279	1.558	8042.529380175905
368	50416	1.562	8030.476261742017
369	50553	1.566	8003.018374916441
370	50690	1.569	8003.018374916441
371	50827	1.573	8003.018374916441
372	50964	1.577	8003.018374916441
373	51101	1.58	8003.018374916441
374	51238	1.584	7960.83801978466
375	51375	1.588	7960.83801978466
376	51512	1.591	7960.83801978466
377	51649	1.595	7960.83801978466
