iteration	evaluations	runtime[s]	distance[MIN]
1	5	0.003	15586.877600586251
2	10	0.006	15586.877600586251
3	15	0.007	15508.39126682842
4	20	0.008	15508.39126682842
5	25	0.009	15409.127114009201
6	30	0.01	15039.141438021188
7	35	0.011	15002.106544708007
8	40	0.012	15002.106544708007
9	45	0.013	15002.106544708007
10	50	0.014	15002.106544708007
11	55	0.015	15002.106544708007
12	60	0.016	15002.106544708007
13	65	0.017	15002.106544708007
14	70	0.018	14980.035702500256
15	75	0.019	14827.926122738307
16	80	0.02	14827.926122738307
17	85	0.021	14827.926122738307
18	90	0.022	14827.926122738307
19	95	0.022	14807.57942353647
20	100	0.023	14807.57942353647
21	105	0.024	14807.57942353647
22	110	0.025	14807.57942353647
23	115	0.026	14807.57942353647
24	120	0.026	14717.363349353509
25	125	0.027	14612.433732750767
26	130	0.027	14612.433732750767
27	135	0.028	14612.433732750767
28	140	0.029	14612.433732750767
29	145	0.029	14612.433732750767
30	150	0.03	14548.353977157287
31	155	0.03	14548.353977157287
32	160	0.03	14548.353977157287
33	165	0.031	14547.985855126006
34	170	0.031	14547.985855126006
35	175	0.032	14547.985855126006
36	180	0.033	14547.985855126006
37	185	0.033	14547.985855126006
38	190	0.033	14547.985855126006
39	195	0.034	14547.985855126006
40	200	0.034	14543.667079646517
41	205	0.035	14543.667079646517
42	210	0.035	14543.667079646517
43	215	0.036	14543.096731922238
44	220	0.037	14543.096731922238
45	225	0.037	14543.096731922238
46	230	0.038	14543.096731922238
47	235	0.038	14473.489750855131
48	240	0.039	14473.489750855131
49	245	0.039	14436.02311745409
50	250	0.04	14436.02311745409
51	255	0.04	14436.02311745409
52	260	0.041	14436.02311745409
53	265	0.041	14414.037273134067
54	270	0.042	14414.037273134067
55	275	0.042	14414.037273134067
56	280	0.043	14414.037273134067
57	285	0.043	14414.037273134067
58	290	0.044	14414.037273134067
59	295	0.044	14414.037273134067
60	300	0.044	14379.372127817112
61	305	0.045	14379.372127817112
62	310	0.045	14379.372127817112
63	315	0.046	14364.33119897882
64	320	0.046	14307.569794242016
65	325	0.047	14307.569794242016
66	330	0.047	14307.569794242016
67	335	0.048	14307.569794242016
68	340	0.048	14272.53147183515
69	345	0.049	14272.53147183515
70	350	0.049	14272.53147183515
71	355	0.05	14199.338771641169
72	360	0.05	14199.338771641169
73	365	0.051	14199.338771641169
74	370	0.051	14199.338771641169
75	375	0.051	14195.43651621985
76	380	0.052	14195.43651621985
77	385	0.052	14091.818936476231
78	390	0.053	14091.818936476231
79	395	0.053	14091.818936476231
80	400	0.054	14091.818936476231
81	405	0.054	14087.32465519352
82	410	0.054	14087.32465519352
83	415	0.055	14087.32465519352
84	420	0.055	14087.32465519352
85	425	0.056	14087.32465519352
86	430	0.057	14087.32465519352
87	435	0.057	14087.32465519352
88	440	0.057	14087.32465519352
89	445	0.058	14084.58663698346
90	450	0.058	14048.63264896695
91	455	0.059	14048.63264896695
92	460	0.059	14048.63264896695
93	465	0.059	14048.63264896695
94	470	0.06	14048.63264896695
95	475	0.06	14048.63264896695
96	480	0.06	14048.63264896695
97	485	0.061	14048.63264896695
98	490	0.061	14048.63264896695
99	495	0.061	14048.63264896695
100	500	0.062	14048.63264896695
101	505	0.062	13950.703709438307
