iteration	evaluations	runtime[s]	distance[MIN]
1	137	0.021	14292.522841410026
2	274	0.036	14292.522841410026
3	411	0.051	14292.522841410026
4	548	0.062	14292.522841410026
5	685	0.074	14292.522841410026
6	822	0.083	14042.609814444415
7	959	0.091	14039.12268408439
8	1096	0.1	14039.12268408439
9	1233	0.11	14039.12268408439
10	1370	0.12	13918.93256821107
11	1507	0.126	13842.286808848954
12	1644	0.132	13708.288870303457
13	1781	0.138	13649.867879351554
14	1918	0.143	13595.950847878721
15	2055	0.149	13530.33958312841
16	2192	0.155	13530.33958312841
17	2329	0.161	13530.33958312841
18	2466	0.167	13489.404458629198
19	2603	0.173	13422.44642166944
20	2740	0.183	13421.900420356531
21	2877	0.187	12930.663553842758
22	3014	0.191	12928.276070682623
23	3151	0.195	12928.276070682623
24	3288	0.2	12904.323514109967
25	3425	0.205	12904.323514109967
26	3562	0.209	12845.164309733409
27	3699	0.213	12811.222944617204
28	3836	0.218	12777.95965803367
29	3973	0.222	12765.219178229705
30	4110	0.226	12728.255759511034
31	4247	0.23	12728.255759511034
32	4384	0.234	12636.518979711653
33	4521	0.239	12613.878304504793
34	4658	0.243	12560.100191463149
35	4795	0.247	12545.76264246248
36	4932	0.251	12545.76264246248
37	5069	0.255	12468.530582269063
38	5206	0.259	12402.487514406524
39	5343	0.262	12402.487514406524
40	5480	0.267	12349.666781597098
41	5617	0.271	12349.666781597098
42	5754	0.275	12309.007587177177
43	5891	0.279	12198.9173457305
44	6028	0.283	12164.082269255305
45	6165	0.287	12128.224148789272
46	6302	0.291	12128.224148789272
47	6439	0.295	12078.78660404187
48	6576	0.299	12028.911786991252
49	6713	0.303	12028.911786991252
50	6850	0.307	12012.449384371073
51	6987	0.311	12010.803610146007
52	7124	0.315	11973.935918924915
53	7261	0.319	11918.408904848924
54	7398	0.323	11856.890951697062
55	7535	0.33	11856.890951697062
56	7672	0.334	11795.884951766257
57	7809	0.338	11795.884951766257
58	7946	0.342	11771.114988502546
59	8083	0.346	11740.021429498454
60	8220	0.351	11740.021429498454
61	8357	0.354	11740.021429498454
62	8494	0.359	11658.690660091648
63	8631	0.362	11578.73529051807
64	8768	0.366	11578.73529051807
65	8905	0.37	11554.088137952194
66	9042	0.374	11554.088137952194
67	9179	0.378	11554.088137952194
68	9316	0.381	11552.838065889526
69	9453	0.385	11515.162739513013
70	9590	0.389	11470.522009490978
71	9727	0.393	11441.692868454535
72	9864	0.397	11441.57153436787
73	10001	0.4	11355.204907804471
74	10138	0.404	11344.140025934943
75	10275	0.408	11344.140025934943
76	10412	0.412	11305.062004401654
77	10549	0.416	11301.396988741139
78	10686	0.419	11258.134942517394
79	10823	0.423	11221.117535755626
80	10960	0.427	11221.117535755626
81	11097	0.431	11169.990310808671
82	11234	0.435	11169.990310808671
83	11371	0.438	11054.287832031501
84	11508	0.442	11054.287832031501
85	11645	0.446	11054.287832031501
86	11782	0.45	11025.986441968935
87	11919	0.454	10926.90749993911
88	12056	0.458	10926.90749993911
89	12193	0.462	10926.90749993911
90	12330	0.469	10855.146757539593
91	12467	0.473	10855.146757539593
92	12604	0.477	10801.339662967397
93	12741	0.48	10801.339662967397
94	12878	0.485	10749.596639883739
95	13015	0.489	10749.596639883739
