iteration	evaluations	runtime[s]	distance[MIN]
1	137	0.021	14894.8102219538
2	274	0.035	14879.636966734746
3	411	0.047	14691.569930671763
4	548	0.055	14650.653391136973
5	685	0.063	14525.445488003726
6	822	0.07	14503.491177163656
7	959	0.076	14465.146007528336
8	1096	0.083	14451.69197313286
9	1233	0.088	14401.486642388452
10	1370	0.095	14232.504545249223
11	1507	0.102	14220.898568476041
12	1644	0.108	14220.898568476041
13	1781	0.114	13927.469195404092
14	1918	0.12	13927.469195404092
15	2055	0.127	13755.17444582169
16	2192	0.132	13755.17444582169
17	2329	0.138	13751.902423831874
18	2466	0.144	13676.339638722979
19	2603	0.149	13596.210554395388
20	2740	0.162	13596.210554395388
21	2877	0.166	13520.14711994546
22	3014	0.17	13487.86317571431
23	3151	0.174	13487.86317571431
24	3288	0.179	13441.053511241724
25	3425	0.183	13416.575241248509
26	3562	0.187	13416.575241248509
27	3699	0.192	13416.575241248509
28	3836	0.196	13386.89557790191
29	3973	0.2	13294.206950498916
30	4110	0.204	13252.933297971325
31	4247	0.209	13231.721881586112
32	4384	0.213	13170.46107500622
33	4521	0.217	13170.46107500622
34	4658	0.221	13129.521887442152
35	4795	0.225	13129.521887442152
36	4932	0.229	13075.520278814192
37	5069	0.233	13044.102694531904
38	5206	0.236	12868.643106081285
39	5343	0.24	12868.643106081285
40	5480	0.245	12868.643106081285
41	5617	0.249	12868.643106081285
42	5754	0.253	12868.643106081285
43	5891	0.257	12819.272071513238
44	6028	0.261	12749.512837469912
45	6165	0.265	12724.766556544711
46	6302	0.269	12724.766556544711
47	6439	0.273	12694.14270938515
48	6576	0.277	12659.3680882818
49	6713	0.28	12565.902235512167
50	6850	0.285	12565.902235512167
51	6987	0.289	12482.042388424108
52	7124	0.293	12482.042388424108
53	7261	0.297	12482.042388424108
54	7398	0.301	12482.042388424108
55	7535	0.311	12333.203746418234
56	7672	0.315	12299.004058157756
57	7809	0.319	12299.004058157756
58	7946	0.323	12299.004058157756
59	8083	0.327	12249.157308968071
60	8220	0.331	12249.157308968071
61	8357	0.334	12249.157308968071
62	8494	0.338	12230.164789509216
63	8631	0.342	12182.884353744454
64	8768	0.346	12149.430080577735
65	8905	0.349	12097.69502576054
66	9042	0.353	12097.69502576054
67	9179	0.357	12097.69502576054
68	9316	0.361	12097.69502576054
69	9453	0.364	12097.69502576054
70	9590	0.368	12054.039221131023
71	9727	0.372	12054.039221131023
72	9864	0.376	12049.552221201257
73	10001	0.379	12023.434357190044
74	10138	0.383	12018.546861460689
75	10275	0.387	12010.442005008154
76	10412	0.391	11966.883144308038
77	10549	0.395	11943.398457738676
78	10686	0.398	11932.444707430866
79	10823	0.402	11897.565066474315
80	10960	0.406	11862.893061910447
81	11097	0.41	11862.893061910447
82	11234	0.414	11816.8528463928
83	11371	0.418	11752.343681128013
