iteration	evaluations	runtime[s]	distance[MIN]
1	5	0.003	15024.834231683271
2	10	0.006	15024.834231683271
3	15	0.007	15024.834231683271
4	20	0.008	14983.349452709586
5	25	0.009	14983.349452709586
6	30	0.01	14958.99703318079
7	35	0.011	14939.001310049716
8	40	0.012	14844.815435288785
9	45	0.013	14844.815435288785
10	50	0.014	14844.815435288785
11	55	0.015	14844.815435288785
12	60	0.016	14844.815435288785
13	65	0.017	14715.625050846256
14	70	0.018	14703.387927161177
15	75	0.019	14571.109045512989
16	80	0.02	14571.109045512989
17	85	0.021	14571.109045512989
18	90	0.022	14571.109045512989
19	95	0.022	14551.396795244005
20	100	0.023	14551.396795244005
21	105	0.024	14471.036443779261
22	110	0.025	14471.036443779261
23	115	0.026	14471.036443779261
24	120	0.026	14471.036443779261
25	125	0.027	14471.036443779261
26	130	0.028	14471.036443779261
27	135	0.028	14471.036443779261
28	140	0.029	14471.036443779261
29	145	0.029	14471.036443779261
30	150	0.03	14414.299612644101
31	155	0.031	14414.299612644101
32	160	0.031	14414.299612644101
33	165	0.032	14414.299612644101
34	170	0.032	14414.299612644101
35	175	0.033	14414.299612644101
36	180	0.033	14391.325463321298
37	185	0.034	14391.325463321298
38	190	0.034	14391.325463321298
39	195	0.035	14391.325463321298
40	200	0.035	14330.680170756896
41	205	0.036	14330.680170756896
42	210	0.036	14324.713553379874
43	215	0.037	14324.713553379874
44	220	0.037	14140.299431919595
45	225	0.038	14140.299431919595
46	230	0.039	14140.299431919595
47	235	0.039	14126.329297180107
48	240	0.039	14109.408809767076
49	245	0.04	14109.408809767076
50	250	0.041	14109.408809767076
51	255	0.041	14109.408809767076
52	260	0.042	14109.408809767076
53	265	0.042	14109.408809767076
54	270	0.043	14065.636416190395
55	275	0.043	14065.636416190395
56	280	0.044	14065.636416190395
57	285	0.044	14065.636416190395
58	290	0.045	13981.104603509932
59	295	0.045	13981.104603509932
60	300	0.046	13981.104603509932
61	305	0.047	13981.104603509932
62	310	0.047	13981.104603509932
63	315	0.048	13933.107285719716
64	320	0.049	13933.107285719716
65	325	0.05	13933.107285719716
66	330	0.05	13933.107285719716
67	335	0.051	13924.752023696125
68	340	0.052	13924.752023696125
69	345	0.052	13824.207674837418
70	350	0.053	13823.670930879935
71	355	0.054	13823.670930879935
72	360	0.054	13787.619317902892
73	365	0.055	13787.619317902892
