iteration	evaluations	runtime[s]	distance[MIN]
1	137	0.021	14733.74873871475
2	274	0.036	14733.74873871475
3	411	0.051	14612.740503247664
4	548	0.062	14612.740503247664
5	685	0.069	14612.740503247664
6	822	0.078	14395.418860346022
7	959	0.086	14365.165709680463
8	1096	0.092	14365.165709680463
9	1233	0.099	14365.165709680463
10	1370	0.105	14203.068738322458
11	1507	0.112	14203.068738322458
12	1644	0.119	14093.994532230763
13	1781	0.125	14016.760381094176
14	1918	0.131	14016.760381094176
15	2055	0.138	14016.760381094176
16	2192	0.145	13923.106634550822
17	2329	0.15	13731.873388903825
18	2466	0.156	13731.873388903825
19	2603	0.163	13731.873388903825
20	2740	0.176	13731.873388903825
21	2877	0.181	13664.518093443936
22	3014	0.187	13593.424904252632
23	3151	0.192	13593.424904252632
24	3288	0.197	13375.477851498554
25	3425	0.201	13375.477851498554
26	3562	0.205	13375.477851498554
27	3699	0.21	13375.477851498554
28	3836	0.214	13328.278688196602
29	3973	0.218	13193.098368168787
30	4110	0.222	13160.995720660305
31	4247	0.227	13056.195601354922
32	4384	0.231	13056.195601354922
33	4521	0.236	13056.195601354922
34	4658	0.24	12894.257339084048
35	4795	0.244	12648.706619568356
36	4932	0.248	12648.706619568356
37	5069	0.252	12632.248693712687
38	5206	0.256	12632.248693712687
39	5343	0.26	12632.248693712687
40	5480	0.264	12592.048728044323
41	5617	0.268	12527.916942693317
42	5754	0.272	12466.632761172421
43	5891	0.276	12429.374405337638
44	6028	0.28	12428.6144894295
45	6165	0.284	12428.6144894295
46	6302	0.288	12428.6144894295
47	6439	0.293	12366.30988642409
48	6576	0.297	12343.074085383447
49	6713	0.3	12342.635940517759
50	6850	0.304	12285.62713517866
51	6987	0.308	12259.270529613417
52	7124	0.312	12241.430652056075
53	7261	0.316	12163.52158595151
54	7398	0.321	12163.52158595151
55	7535	0.329	12085.053109828179
56	7672	0.333	11956.438374668514
57	7809	0.338	11956.438374668514
58	7946	0.342	11956.438374668514
59	8083	0.346	11956.438374668514
60	8220	0.35	11956.438374668514
61	8357	0.354	11950.814469981555
62	8494	0.358	11950.814469981555
63	8631	0.361	11886.747984152616
64	8768	0.366	11886.747984152616
65	8905	0.37	11830.998248547285
66	9042	0.374	11830.998248547285
67	9179	0.378	11756.445759062486
68	9316	0.382	11754.180627784612
69	9453	0.386	11732.55241711237
70	9590	0.39	11693.415212375423
71	9727	0.394	11693.415212375423
72	9864	0.398	11632.517012864482
73	10001	0.402	11632.517012864482
74	10138	0.406	11563.112184440597
75	10275	0.41	11563.112184440597
76	10412	0.414	11527.757654245755
77	10549	0.418	11501.257627057274
78	10686	0.422	11495.91008609542
79	10823	0.427	11482.708620480567
80	10960	0.431	11482.708620480567
81	11097	0.435	11482.708620480567
82	11234	0.439	11472.372715604755
83	11371	0.443	11450.565339086275
84	11508	0.447	11376.35382336321
85	11645	0.45	11352.346974622049
86	11782	0.454	11265.162526393593
87	11919	0.458	11265.162526393593
88	12056	0.462	11226.829311872138
89	12193	0.467	11226.829311872138
90	12330	0.471	11226.829311872138
91	12467	0.478	11188.049327875755
92	12604	0.482	11125.65012265421
93	12741	0.486	11123.188635600505
94	12878	0.49	11100.602516206449
95	13015	0.494	11100.602516206449
96	13152	0.498	10991.446916733132
97	13289	0.502	10991.446916733132
98	13426	0.507	10984.592740357251
99	13563	0.511	10984.592740357251
100	13700	0.515	10942.93217584454
101	13837	0.519	10904.396445183742
102	13974	0.523	10898.460999570467
103	14111	0.527	10883.989764480673
104	14248	0.531	10825.603709481778
105	14385	0.535	10803.58794604211
106	14522	0.54	10716.829510169944
107	14659	0.545	10716.829510169944
108	14796	0.55	10716.829510169944
109	14933	0.554	10716.829510169944
110	15070	0.557	10704.5501996398
111	15207	0.561	10695.079855220885
112	15344	0.566	10654.011099265992
113	15481	0.569	10635.425506932277
114	15618	0.573	10635.425506932277
115	15755	0.577	10635.425506932277
116	15892	0.581	10518.418741951711
117	16029	0.585	10513.559063141665
118	16166	0.59	10513.559063141665
119	16303	0.594	10499.111848791985
120	16440	0.598	10438.46636073225
121	16577	0.601	10438.46636073225
122	16714	0.606	10438.46636073225
123	16851	0.61	10426.476071356035
124	16988	0.614	10426.476071356035
125	17125	0.618	10396.607955904681
126	17262	0.622	10363.966181911415
127	17399	0.635	10363.966181911415
128	17536	0.639	10357.095469164746
129	17673	0.643	10345.553559936801
130	17810	0.647	10345.090219833857
131	17947	0.651	10337.529783942939
132	18084	0.655	10290.565462039523
133	18221	0.658	10290.565462039523
134	18358	0.663	10290.565462039523
135	18495	0.667	10276.817434378792
136	18632	0.671	10247.070003718154
137	18769	0.675	10247.070003718154
138	18906	0.679	10247.070003718154
139	19043	0.683	10247.070003718154
140	19180	0.686	10247.070003718154
141	19317	0.69	10238.783052990599
142	19454	0.694	10204.38852707222
143	19591	0.698	10204.38852707222
144	19728	0.702	10204.38852707222
145	19865	0.705	10102.03279610773
146	20002	0.709	10102.03279610773
147	20139	0.713	10102.03279610773
148	20276	0.717	10102.03279610773
149	20413	0.721	10102.03279610773
150	20550	0.725	10057.40549084191
151	20687	0.728	10057.40549084191
152	20824	0.732	9932.035650831805
153	20961	0.736	9932.035650831805
154	21098	0.74	9932.035650831805
155	21235	0.744	9932.035650831805
156	21372	0.747	9894.981452705106
157	21509	0.751	9882.138973142974
158	21646	0.754	9882.138973142974
159	21783	0.758	9882.138973142974
160	21920	0.762	9869.928485109413
161	22057	0.766	9866.714089610825
162	22194	0.772	9863.40978841477
163	22331	0.776	9832.145565295776
164	22468	0.78	9832.145565295776
165	22605	0.783	9823.430074834065
166	22742	0.787	9823.430074834065
167	22879	0.791	9787.842442308085
168	23016	0.795	9787.842442308085
169	23153	0.799	9773.854889771585
170	23290	0.803	9766.62829723633
171	23427	0.806	9739.59795930153
172	23564	0.81	9739.59795930153
173	23701	0.814	9696.27741209921
174	23838	0.818	9688.324755135105
175	23975	0.821	9688.324755135105
176	24112	0.825	9683.688190834537
177	24249	0.83	9683.688190834537
178	24386	0.833	9594.678204339407
179	24523	0.837	9594.678204339407
180	24660	0.842	9594.678204339407
181	24797	0.845	9594.678204339407
182	24934	0.849	9594.678204339407
183	25071	0.853	9594.678204339407
184	25208	0.857	9594.678204339407
185	25345	0.861	9526.10927196295
186	25482	0.864	9508.26263088698
187	25619	0.868	9508.26263088698
188	25756	0.871	9508.26263088698
189	25893	0.875	9508.26263088698
190	26030	0.879	9508.26263088698
191	26167	0.883	9469.020291888857
192	26304	0.886	9446.464263637617
193	26441	0.89	9446.464263637617
194	26578	0.894	9422.149822855814
195	26715	0.898	9422.149822855814
196	26852	0.901	9422.149822855814
197	26989	0.905	9416.079597911184
198	27126	0.913	9373.424289949655
199	27263	0.918	9373.424289949655
200	27400	0.923	9368.777732187433
201	27537	0.927	9368.777732187433
202	27674	0.931	9368.777732187433
203	27811	0.935	9368.777732187433
204	27948	0.939	9368.777732187433
205	28085	0.942	9358.15870198022
206	28222	0.946	9336.938653109657
207	28359	0.95	9336.938653109657
208	28496	0.954	9336.938653109657
209	28633	0.957	9282.375892872173
210	28770	0.961	9278.004861940311
211	28907	0.965	9278.004861940311
212	29044	0.968	9278.004861940311
213	29181	0.972	9278.004861940311
214	29318	0.976	9268.009132522151
215	29455	0.979	9268.009132522151
216	29592	0.983	9257.409732491384
217	29729	0.987	9256.643167094664
218	29866	0.991	9180.581003428342
219	30003	0.994	9180.581003428342
220	30140	0.998	9180.581003428342
221	30277	1.002	9180.581003428342
222	30414	1.005	9180.581003428342
223	30551	1.009	9135.63085202433
224	30688	1.012	9135.63085202433
225	30825	1.016	9135.63085202433
226	30962	1.02	9135.63085202433
227	31099	1.023	9135.63085202433
228	31236	1.027	9126.556895079686
229	31373	1.03	9126.556895079686
230	31510	1.034	9126.556895079686
231	31647	1.037	9126.556895079686
232	31784	1.041	9107.542605916296
233	31921	1.044	9107.542605916296
234	32058	1.048	9107.542605916296
235	32195	1.051	9089.592704589759
236	32332	1.055	9051.474442275152
237	32469	1.058	9051.474442275152
238	32606	1.062	9051.474442275152
239	32743	1.066	9051.474442275152
240	32880	1.069	9035.98523098102
241	33017	1.073	9035.98523098102
242	33154	1.076	9027.671019798781
243	33291	1.08	9027.671019798781
244	33428	1.083	9019.632827156527
245	33565	1.086	9011.332960094931
246	33702	1.09	8984.966901482698
247	33839	1.093	8975.428872552606
248	33976	1.097	8975.428872552606
249	34113	1.1	8959.039443158212
250	34250	1.104	8959.039443158212
251	34387	1.108	8958.783722469696
252	34524	1.111	8924.55324792412
253	34661	1.115	8918.889820413553
254	34798	1.118	8918.624797957724
255	34935	1.122	8895.254957274145
256	35072	1.126	8877.63218426933
257	35209	1.13	8855.905427816051
258	35346	1.133	8845.873958206223
259	35483	1.136	8845.873958206223
260	35620	1.14	8822.412994902345
261	35757	1.144	8822.412994902345
262	35894	1.147	8822.412994902345
263	36031	1.151	8768.62239611909
264	36168	1.154	8757.596646426733
265	36305	1.158	8757.596646426733
266	36442	1.161	8730.178722212713
267	36579	1.165	8694.213311311085
268	36716	1.168	8694.213311311085
269	36853	1.172	8649.52746536584
270	36990	1.179	8649.52746536584
271	37127	1.183	8632.652558000507
272	37264	1.187	8632.652558000507
273	37401	1.19	8630.15434159871
274	37538	1.194	8591.690940689949
275	37675	1.198	8584.448091047929
276	37812	1.202	8578.928153556306
277	37949	1.206	8543.402922285999
278	38086	1.21	8543.402922285999
279	38223	1.214	8543.402922285999
280	38360	1.217	8543.402922285999
281	38497	1.221	8539.007238179369
282	38634	1.225	8512.93195426871
283	38771	1.229	8482.759060500659
284	38908	1.232	8482.759060500659
285	39045	1.236	8482.759060500659
286	39182	1.24	8482.759060500659
287	39319	1.243	8482.759060500659
288	39456	1.247	8482.339483630638
289	39593	1.251	8462.190097012619
290	39730	1.254	8452.342742631296
