iteration	evaluations	runtime[s]	distance[MIN]
1	137	0.022	14852.944463487436
2	274	0.038	14823.14481917677
3	411	0.052	14823.14481917677
4	548	0.062	14454.967362344887
5	685	0.071	14343.095204258809
6	822	0.079	14343.095204258809
7	959	0.087	14343.095204258809
8	1096	0.096	14343.095204258809
9	1233	0.106	14343.095204258809
10	1370	0.114	14343.095204258809
11	1507	0.124	14124.635286800682
12	1644	0.132	14124.635286800682
13	1781	0.14	14093.787277039808
14	1918	0.148	14043.467441317505
15	2055	0.155	13933.025523822938
16	2192	0.16	13933.025523822938
17	2329	0.171	13840.61204053163
18	2466	0.176	13822.407066299205
19	2603	0.182	13695.706664562793
20	2740	0.187	13617.675237134092
21	2877	0.192	13576.085791708923
22	3014	0.197	13576.085791708923
23	3151	0.202	13537.219041811402
24	3288	0.207	13537.219041811402
25	3425	0.212	13530.04873346741
26	3562	0.217	13486.120137295842
27	3699	0.222	13421.134253263186
28	3836	0.227	13421.134253263186
29	3973	0.232	13416.498628436899
30	4110	0.237	13259.651469107956
31	4247	0.241	13259.651469107956
32	4384	0.245	13188.894267917776
33	4521	0.25	13188.894267917776
34	4658	0.255	13117.646592996503
35	4795	0.259	13058.827182294925
36	4932	0.263	13058.827182294925
37	5069	0.268	13058.827182294925
38	5206	0.272	13058.827182294925
39	5343	0.276	13002.231329311793
40	5480	0.281	12968.01952713086
41	5617	0.285	12968.01952713086
42	5754	0.29	12871.279893528512
43	5891	0.294	12871.279893528512
44	6028	0.299	12871.279893528512
45	6165	0.303	12871.279893528512
46	6302	0.313	12827.262264815803
47	6439	0.318	12729.81640242302
48	6576	0.322	12729.81640242302
49	6713	0.328	12729.81640242302
50	6850	0.335	12729.81640242302
51	6987	0.341	12639.84633878247
52	7124	0.346	12639.84633878247
53	7261	0.351	12599.952155711557
54	7398	0.355	12582.676625977943
55	7535	0.36	12475.688456513795
56	7672	0.364	12475.688456513795
57	7809	0.37	12318.765969998685
58	7946	0.377	12318.765969998685
59	8083	0.382	12254.410639918191
60	8220	0.386	12139.729386476844
61	8357	0.39	12139.729386476844
62	8494	0.394	12119.126705768298
63	8631	0.398	12095.721488552002
64	8768	0.403	12089.057984816802
65	8905	0.407	12061.714376335338
66	9042	0.412	12012.729716816682
67	9179	0.416	11910.135822394424
68	9316	0.42	11910.135822394424
69	9453	0.424	11910.135822394424
70	9590	0.428	11909.88180370777
71	9727	0.433	11877.849186054045
72	9864	0.437	11844.803811536382
73	10001	0.441	11837.295170049667
74	10138	0.445	11748.493570906188
75	10275	0.453	11729.579046442062
76	10412	0.457	11729.579046442062
77	10549	0.461	11652.53392900484
78	10686	0.466	11652.53392900484
79	10823	0.47	11652.53392900484
80	10960	0.477	11543.517275946664
81	11097	0.483	11543.517275946664
82	11234	0.489	11543.517275946664
83	11371	0.495	11531.348219342257
84	11508	0.5	11528.86759485961
85	11645	0.504	11492.827034654787
86	11782	0.509	11486.055608018512
87	11919	0.513	11378.39946356032
88	12056	0.518	11378.39946356032
89	12193	0.522	11322.804162267963
90	12330	0.526	11292.114909501266
91	12467	0.53	11243.207858290683
92	12604	0.534	11243.207858290683
93	12741	0.538	11139.541120570202
94	12878	0.543	11139.541120570202
95	13015	0.547	11131.963128406303
96	13152	0.551	11131.963128406303
97	13289	0.555	11131.963128406303
98	13426	0.559	11119.024602764564
99	13563	0.564	11097.84592197597
100	13700	0.568	11074.575529009733
101	13837	0.572	11074.575529009733
